,ARENA RACING / TRIATHLON / COMPRESSION 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SKU,EAN,Article,Style,Style Description,Colorway,Colorway Description,Collection Type,Teamline,Teamline Colorway,Carry Over Style,Carry Over Colorway,Segment,Product Type,Usage Environment,Usage Purpose,Consumer Target,Item,Style Composition,Packaging Sustainability,Product Sustainability,Back,Material Subtype,Product Line,Sizes Overview,Size,FRA size,GER size,ITA size,UK size,USA size,Net weight,Gross weight,Packaging Weight,Packaging Depth,Packaging Height,Packaging Width,Backbone,Fedas,Fedas Colorway,Fedas Size Range,Taric,Potential Made In
,001129_553_32,3468336259924,001129553,001129,POWERSKIN CARBON AIR2 CB,553,BLACK-BLACK-GOLD,Global,N,N,Y,Y,Swimwear,Full body,Pool,Racing,Woman,Short Leg,"65% Polyamide, 34% Elastane, 1% Carbon Fiber",100% Recycled Paper,,Closed,Woven,Carbon Air 2," 28, 30, 32, 34, 36, 38, 40",32,32	,30	,36	,26	,26	,115,307,192,6.5,17.5,12.5,Racing - Race gear & wetsuits - Swimsuits & Trisuits - WOMAN - Full body,215695,21222,14.15,6211120000,Slovakia
,001129_553_34,3468336259948,001129553,001129,POWERSKIN CARBON AIR2 CB,553,BLACK-BLACK-GOLD,Global,N,N,Y,Y,Swimwear,Full body,Pool,Racing,Woman,Short Leg,"65% Polyamide, 34% Elastane, 1% Carbon Fiber",100% Recycled Paper,,Closed,Woven,Carbon Air 2," 28, 30, 32, 34, 36, 38, 40",34,34	,32	,38	,28	,28	,115,307,192,6.5,17.5,12.5,Racing - Race gear & wetsuits - Swimsuits & Trisuits - WOMAN - Full body,215695,21222,14.15,6211120000,Slovakia
,001129_553_36,3468336259962,001129553,001129,POWERSKIN CARBON AIR2 CB,553,BLACK-BLACK-GOLD,Global,N,N,Y,Y,Swimwear,Full body,Pool,Racing,Woman,Short Leg,"65% Polyamide, 34% Elastane, 1% Carbon Fiber",100% Recycled Paper,,Closed,Woven,Carbon Air 2," 28, 30, 32, 34, 36, 38, 40",36,36	,34	,40	,30	,30	,115,307,192,6.5,17.5,12.5,Racing - Race gear & wetsuits - Swimsuits & Trisuits - WOMAN - Full body,215695,21222,14.15,6211120000,Slovakia
,001129_553_38,3468336259986,001129553,001129,POWERSKIN CARBON AIR2 CB,553,BLACK-BLACK-GOLD,Global,N,N,Y,Y,Swimwear,Full body,Pool,Racing,Woman,Short Leg,"65% Polyamide, 34% Elastane, 1% Carbon Fiber",100% Recycled Paper,,Closed,Woven,Carbon Air 2," 28, 30, 32, 34, 36, 38, 40",38,38	,36	,42	,32	,32	,115,307,192,6.5,17.5,12.5,Racing - Race gear & wetsuits - Swimsuits & Trisuits - WOMAN - Full body,215695,21222,14.15,6211120000,Slovakia
,001129_553_40,3468336259887,001129553,001129,POWERSKIN CARBON AIR2 CB,553,BLACK-BLACK-GOLD,Global,N,N,Y,Y,Swimwear,Full body,Pool,Racing,Woman,Short Leg,"65% Polyamide, 34% Elastane, 1% Carbon Fiber",100% Recycled Paper,,Closed,Woven,Carbon Air 2," 28, 30, 32, 34, 36, 38, 40",40,40	,38	,44	,34	,34	,115,307,192,6.5,17.5,12.5,Racing - Race gear & wetsuits - Swimsuits & Trisuits - WOMAN - Full body,215695,21222,14.15,6211120000,Slovakia
,001129_853_28,3468336259979,001129853,001129,POWERSKIN CARBON AIR2 CB,853,ELECTRIC BLUE-DARK GREY-FLUO YELLOW,Global,N,N,Y,Y,Swimwear,Full body,Pool,Racing,Woman,Short Leg,"65% Polyamide, 34% Elastane, 1% Carbon Fiber",100% Recycled Paper,,Closed,Woven,Carbon Air 2," 28, 30, 32, 34, 36, 38, 40",28,28	,26	,32	,22	,22	,115,307,192,6.5,17.5,12.5,Racing - Race gear & wetsuits - Swimsuits & Trisuits - WOMAN - Full body,215695,21182,14.15,6211120000,Slovakia
,001129_853_30,3468336259870,001129853,001129,POWERSKIN CARBON AIR2 CB,853,ELECTRIC BLUE-DARK GREY-FLUO YELLOW,Global,N,N,Y,Y,Swimwear,Full body,Pool,Racing,Woman,Short Leg,"65% Polyamide, 34% Elastane, 1% Carbon Fiber",100% Recycled Paper,,Closed,Woven,Carbon Air 2," 28, 30, 32, 34, 36, 38, 40",30,30	,28	,34	,24	,24	,115,307,192,6.5,17.5,12.5,Racing - Race gear & wetsuits - Swimsuits & Trisuits - WOMAN - Full body,215695,21182,14.15,6211120000,Slovakia
,001129_853_32,3468336259894,001129853,001129,POWERSKIN CARBON AIR2 CB,853,ELECTRIC BLUE-DARK GREY-FLUO YELLOW,Global,N,N,Y,Y,Swimwear,Full body,Pool,Racing,Woman,Short Leg,"65% Polyamide, 34% Elastane, 1% Carbon Fiber",100% Recycled Paper,,Closed,Woven,Carbon Air 2," 28, 30, 32, 34, 36, 38, 40",32,32	,30	,36	,26	,26	,115,307,192,6.5,17.5,12.5,Racing - Race gear & wetsuits - Swimsuits & Trisuits - WOMAN - Full body,215695,21182,14.15,6211120000,Slovakia
,001129_853_34,3468336259917,001129853,001129,POWERSKIN CARBON AIR2 CB,853,ELECTRIC BLUE-DARK GREY-FLUO YELLOW,Global,N,N,Y,Y,Swimwear,Full body,Pool,Racing,Woman,Short Leg,"65% Polyamide, 34% Elastane, 1% Carbon Fiber",100% Recycled Paper,,Closed,Woven,Carbon Air 2," 28, 30, 32, 34, 36, 38, 40",34,34	,32	,38	,28	,28	,115,307,192,6.5,17.5,12.5,Racing - Race gear & wetsuits - Swimsuits & Trisuits - WOMAN - Full body,215695,21182,14.15,6211120000,Slovakia
,001129_853_36,3468336259931,001129853,001129,POWERSKIN CARBON AIR2 CB,853,ELECTRIC BLUE-DARK GREY-FLUO YELLOW,Global,N,N,Y,Y,Swimwear,Full body,Pool,Racing,Woman,Short Leg,"65% Polyamide, 34% Elastane, 1% Carbon Fiber",100% Recycled Paper,,Closed,Woven,Carbon Air 2," 28, 30, 32, 34, 36, 38, 40",36,36	,34	,40	,30	,30	,115,307,192,6.5,17.5,12.5,Racing - Race gear & wetsuits - Swimsuits & Trisuits - WOMAN - Full body,215695,21182,14.15,6211120000,Slovakia
