,ARENA TEAMLINE 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SKU,EAN,Article,Style,Style Description,Colorway,Colorway Description,Collection Type,Teamline,Teamline Colorway,Carry Over Style,Carry Over Colorway,Segment,Product Type,Usage Environment,Usage Purpose,Consumer Target,Style Composition,Product Sustainability,Item,Lining,Back,Material Subtype,Product Line,Backbone levels,Sizes Overview,Size,FRA size,GER size,ITA size,UK size,USA size,Packaging Sustainability,Net Weight,Gross Weight,InnerBox Pcs,Packaging Weight,Packaging Depth,Packaging Height,Packaging Width,Taric,Fedas,Fedas Colorway,Fedas Size Range,Made-In
,001225_810_XL,3468337115274,001225810,001225,W T-SHIRT TEAM,810,ROY-WHITE-ROY,Global,Y,Y,Y,Y,Apparel,T-shirt,,,Woman,100% Cotton,,Short Sleeves,,,Knitted,,Swimwear & Sports Apparel - Sportswear - Streetwear - WOMAN - T-shirt,"XS, S, M, L, XL, XXL",XL,XL	,XL	,XL	,XL	,XL	,,133,144,0,11,3,38,30,6109100010,278125,21182,14.05,China
,001225_810_XS,3468337116578,001225810,001225,W T-SHIRT TEAM,810,ROY-WHITE-ROY,Global,Y,Y,Y,Y,Apparel,T-shirt,,,Woman,100% Cotton,,Short Sleeves,,,Knitted,,Swimwear & Sports Apparel - Sportswear - Streetwear - WOMAN - T-shirt,"XS, S, M, L, XL, XXL",XS,XS	,XS	,XS	,XS	,XS	,,133,144,0,11,3,38,30,6109100010,278125,21182,14.05,China
,001225_810_XXL,3468337115670,001225810,001225,W T-SHIRT TEAM,810,ROY-WHITE-ROY,Global,Y,Y,Y,Y,Apparel,T-shirt,,,Woman,100% Cotton,,Short Sleeves,,,Knitted,,Swimwear & Sports Apparel - Sportswear - Streetwear - WOMAN - T-shirt,"XS, S, M, L, XL, XXL",XXL,XXL	,XXL	,XXL	,XXL	,XXL	,,133,144,0,11,3,38,30,6109100010,278125,21182,14.05,China
,001227_510_L,3468337116073,001227510,001227,W LORELLA TEAM,510,BLACK-WHITE-BLACK,Global,Y,Y,Y,Y,Apparel,Shorts,,,Woman,"89% Polyester, 11% Elastane",,Shorts,,,Knitted,,Swimwear & Sports Apparel - Sportswear - Streetwear - WOMAN - Shorts,"XS, S, M, L, XL, XXL",L,L	,L	,L	,L	,L	,,100,111,0,11,3,32,22,6104630000,278512,21222,14.05,China
,001227_510_M,3468337116332,001227510,001227,W LORELLA TEAM,510,BLACK-WHITE-BLACK,Global,Y,Y,Y,Y,Apparel,Shorts,,,Woman,"89% Polyester, 11% Elastane",,Shorts,,,Knitted,,Swimwear & Sports Apparel - Sportswear - Streetwear - WOMAN - Shorts,"XS, S, M, L, XL, XXL",M,M	,M	,M	,M	,M	,,100,111,0,11,3,32,22,6104630000,278512,21222,14.05,China
,001227_510_S,3468337115878,001227510,001227,W LORELLA TEAM,510,BLACK-WHITE-BLACK,Global,Y,Y,Y,Y,Apparel,Shorts,,,Woman,"89% Polyester, 11% Elastane",,Shorts,,,Knitted,,Swimwear & Sports Apparel - Sportswear - Streetwear - WOMAN - Shorts,"XS, S, M, L, XL, XXL",S,S	,S	,S	,S	,S	,,100,111,0,11,3,32,22,6104630000,278512,21222,14.05,China
,001227_510_XL,3468337115977,001227510,001227,W LORELLA TEAM,510,BLACK-WHITE-BLACK,Global,Y,Y,Y,Y,Apparel,Shorts,,,Woman,"89% Polyester, 11% Elastane",,Shorts,,,Knitted,,Swimwear & Sports Apparel - Sportswear - Streetwear - WOMAN - Shorts,"XS, S, M, L, XL, XXL",XL,XL	,XL	,XL	,XL	,XL	,,100,111,0,11,3,32,22,6104630000,278512,21222,14.05,China
,001227_510_XS,3468337115816,001227510,001227,W LORELLA TEAM,510,BLACK-WHITE-BLACK,Global,Y,Y,Y,Y,Apparel,Shorts,,,Woman,"89% Polyester, 11% Elastane",,Shorts,,,Knitted,,Swimwear & Sports Apparel - Sportswear - Streetwear - WOMAN - Shorts,"XS, S, M, L, XL, XXL",XS,XS	,XS	,XS	,XS	,XS	,,100,111,0,11,3,32,22,6104630000,278512,21222,14.05,China
,001227_510_XXL,3468337116066,001227510,001227,W LORELLA TEAM,510,BLACK-WHITE-BLACK,Global,Y,Y,Y,Y,Apparel,Shorts,,,Woman,"89% Polyester, 11% Elastane",,Shorts,,,Knitted,,Swimwear & Sports Apparel - Sportswear - Streetwear - WOMAN - Shorts,"XS, S, M, L, XL, XXL",XXL,XXL	,XXL	,XXL	,XXL	,XXL	,,100,111,0,11,3,32,22,6104630000,278512,21222,14.05,China
,001227_710_L,3468337115380,001227710,001227,W LORELLA TEAM,710,NAVY-WHITE-NAVY,Global,Y,Y,Y,Y,Apparel,Shorts,,,Woman,"89% Polyester, 11% Elastane",,Shorts,,,Knitted,,Swimwear & Sports Apparel - Sportswear - Streetwear - WOMAN - Shorts,"XS, S, M, L, XL, XXL",L,L	,L	,L	,L	,L	,,100,111,0,11,3,32,22,6104630000,278512,21182,14.05,China
