"מק""ט חלופי","תיאור פריט","דגם","צבע","מידה","מחלקה","מחיר מכירה","מחירון 1","סה""כ מלאי","ראשי","מכולה וינגייט","רמת גן","ספורט & מור רמלה","WIX","קוד דגם","קבוצה","פריט","ברקוד"
"BV6728","W NK DF PARK VI","","","XL","נייק ביגוד טים ספורט","99.00","99","-1","","","","","-1","","","193654331955","193654331955"
"BV6728","W NK DF PARK VI","","","XL","נייק ביגוד טים ספורט","99.00","99","-1","","","","","-1","","","193654332051","193654332051"
"BV6855","M NK DF PARK II","","","S","נייק ביגוד טים ספורט","99.00","99","-2","","","","","-2","","","193654340766","193654340766"
"BV6855","M NK DF PARK II","","","M","נייק ביגוד טים ספורט","99.00","99","-4","","","","","-4","","","193654340773","193654340773"
"BV6855","M NK DF PARK II","","","L","נייק ביגוד טים ספורט","99.00","99","-6","","","","","-6","","","193654340780","193654340780"
"BV6855","M NK DF PARK II","","","XL","נייק ביגוד טים ספורט","99.00","99","-3","","","","","-3","","","193654340797","193654340797"
"BV6855","M NK DF PARK II","","","S","נייק ביגוד טים ספורט","99.00","99","-2","","","","","-2","","","193654341015","193654341015"
"BV6855","M NK DF PARK II","","","M","נייק ביגוד טים ספורט","99.00","99","-2","","","","","-2","","","193654341022","193654341022"
"BV6855","M NK DF PARK II","","","L","נייק ביגוד טים ספורט","99.00","99","-2","","","","","-2","","","193654341039","193654341039"
"BV6855","M NK DF PARK II","","","XL","נייק ביגוד טים ספורט","99.00","99","-2","","","","","-2","","","193654341046","193654341046"
"BV6855","M NK DF PARK II","","","XXL","נייק ביגוד טים ספורט","99.00","99","-1","","","","","-1","","","193654341053","193654341053"
"CU8090","NK ACDMY TEAM M","","","MISC","נייק ביגוד טים ספורט","159.00","159","-4","","","","","-4","","","194500857056","194500857056"
"CZ9840","W NP 365 SHORT","","","M","נייק ביגוד טים ספורט","159.00","159","-1","","","","","-1","","","194502755213","194502755213"
"DD0562","NK ELMNTL BKPK","","","MISC","נייק ביגוד טים ספורט","149.00","149","-2","","","","","-2","","","194958681234","194958681234"
"DM3982","NK BRSLA SHOE - 9.5","","","MISC","נייק ביגוד טים ספורט","79.00","79","-2","","","","","-2","","","195244773947","195244773947"
