"מק""ט חלופי","תיאור פריט","דגם","צבע","מידה","מחלקה","מחיר מכירה","מחירון 1","סה""כ מלאי","ראשי","מכולה וינגייט","רמת גן","ספורט & מור רמלה","WIX","קוד דגם","קבוצה","פריט","ברקוד"
"1A420580085","מכנסון גבר wheelie-ש","מכנסון גבר wheelie-שחור/כחול","","85","ביגוד","139.00","139","","","","","","","1A42058","635- מכנסון גבר ארנה איטליה","3468335157245","3468335157245"
"1A4205800105","מכנסון גבר wheelie-ש","מכנסון גבר wheelie-שחור/כחול","","105","ביגוד","139.00","139","","","","","","","1A42058","635- מכנסון גבר ארנה איטליה","3468335157283","3468335157283"
"1A577500038","ב.ים שלם מודפס נשים","ב.ים שלם מודפס נשים HOLIDAYS-שחור/לבן","","38","ביגוד","279.00","279","","","","","","","1A57750","622-ב.ים נשים ע.כלור ארנה איטליה","3468335182957","3468335182957"
"1A577500040","ב.ים שלם מודפס נשים","ב.ים שלם מודפס נשים HOLIDAYS-שחור/לבן","","40","ביגוד","279.00","279","","","","","","","1A57750","622-ב.ים נשים ע.כלור ארנה איטליה","3468335182964","3468335182964"
"1A577500042","ב.ים שלם מודפס נשים","ב.ים שלם מודפס נשים HOLIDAYS-שחור/לבן","","42","ביגוד","279.00","279","","","","","","","1A57750","622-ב.ים נשים ע.כלור ארנה איטליה","3468335182971","3468335182971"
"1A577860034","ב.ים שלם מודפס נשים","ב.ים שלם מודפס נשים HOLIDAYS-אפרסק","","34","ביגוד","279.00","279","","","","","","","1A57786","622-ב.ים נשים ע.כלור ארנה איטליה","3468335183114","3468335183114"
"1A577860036","ב.ים שלם מודפס נשים","ב.ים שלם מודפס נשים HOLIDAYS-אפרסק","","36","ביגוד","279.00","279","","","","","","","1A57786","622-ב.ים נשים ע.כלור ארנה איטליה","3468335183121","3468335183121"
"1A577860038","ב.ים שלם מודפס נשים","ב.ים שלם מודפס נשים HOLIDAYS-אפרסק","","38","ביגוד","279.00","279","","","","","","","1A57786","622-ב.ים נשים ע.כלור ארנה איטליה","3468335183138","3468335183138"
"1A577860040","ב.ים שלם מודפס נשים","ב.ים שלם מודפס נשים HOLIDAYS-אפרסק","","40","ביגוד","279.00","279","","","","","","","1A57786","622-ב.ים נשים ע.כלור ארנה איטליה","3468335183145","3468335183145"
"1A577860042","ב.ים שלם מודפס נשים","ב.ים שלם מודפס נשים HOLIDAYS-אפרסק","","42","ביגוד","279.00","279","","","","","","","1A57786","622-ב.ים נשים ע.כלור ארנה איטליה","3468335183152","3468335183152"
"1A577860044","ב.ים שלם מודפס נשים","ב.ים שלם מודפס נשים HOLIDAYS-אפרסק","","44","ביגוד","279.00","279","","","","","","","1A57786","622-ב.ים נשים ע.כלור ארנה איטליה","3468335183169","3468335183169"
"AR95179300000","WATER POLO CAP","סט כובעי כדורמים WATER POLO CAP 1-15 FINA+LEN","300","Os","ציוד","1,499.00","1499","-1","-2","","1","","","95179","כובעי ים","3468335193847","3468335193847"
"AR95179700000","WATER POLO CAP","סט כובעי כדורמים WATER POLO CAP 1-15 FINA+LEN","700","Os","ציוד","1,499.00","1499","-1","-2","","1","","","95179","כובעי ים","3468335193854","3468335193854"
"9235459000","משקפת קוברה מראה אפו","משקפת שחייה Cobra Mirror","59","Os","ציוד","139.00","139.0015","","","","","","","92354","משקפות","3468335207162","3468335207162"
"1E04859000","GOGGLE CASE","GOGGLE CASE","","Os","ציוד","39.90","39.9","","","","","","","1E04859","(14502)אביזרי שחיה","3468335207179","3468335207179"
"1A6295000M","חליפת תריאטלון קרבון","חליפת תריאטלון קרבון גבר","","M","ביגוד","1,699.00","1699","","","","","","","1A62950","673- ב.ים מקצועי גבר","3468335207216","3468335207216"
