"מק""ט חלופי","תיאור פריט","דגם","צבע","מידה","מחלקה","מחיר מכירה","מחירון 1","סה""כ מלאי","ראשי","מכולה וינגייט","רמת גן","ספורט & מור רמלה","WIX","קוד דגם","קבוצה","פריט","ברקוד"
"1A929530038","ב.ים נשים MARKER-שחו","ב.ים נשים MARKER-שחור/קורל","","38","ביגוד","269.00","269","","","","","","","1A92953","622-ב.ים נשים ע.כלור ארנה איטליה","3468335311654","3468335311654"
"1A929530040","ב.ים נשים MARKER-שחו","ב.ים נשים MARKER-שחור/קורל","","40","ביגוד","269.00","269","","","","","","","1A92953","622-ב.ים נשים ע.כלור ארנה איטליה","3468335311661","3468335311661"
"1A929530042","ב.ים נשים MARKER-שחו","ב.ים נשים MARKER-שחור/קורל","","42","ביגוד","269.00","269","","","","","","","1A92953","622-ב.ים נשים ע.כלור ארנה איטליה","3468335311678","3468335311678"
"1A929530044","ב.ים נשים MARKER-שחו","ב.ים נשים MARKER-שחור/קורל","","44","ביגוד","269.00","269","","","","","","","1A92953","622-ב.ים נשים ע.כלור ארנה איטליה","3468335311685","3468335311685"
"1A929530046","ב.ים נשים MARKER-שחו","ב.ים נשים MARKER-שחור/קורל","","46","ביגוד","269.00","269","","","","","","","1A92953","622-ב.ים נשים ע.כלור ארנה איטליה","3468335311692","3468335311692"
"1A930540085","מכנסון גבר marker-שח","מכנסון גבר marker-שחור/כחול","","85","ביגוד","139.00","139","","","","","","","1A93054","635- מכנסון גבר ארנה איטליה","3468335311807","3468335311807"
"1A930540090","מכנסון גבר marker-שח","מכנסון גבר marker-שחור/כחול","","90","ביגוד","139.00","139","","","","","","","1A93054","635- מכנסון גבר ארנה איטליה","3468335311814","3468335311814"
"1A930540095","מכנסון גבר marker-שח","מכנסון גבר marker-שחור/כחול","","95","ביגוד","139.00","139","","","","","","","1A93054","635- מכנסון גבר ארנה איטליה","3468335311821","3468335311821"
"1A9305400100","מכנסון גבר marker-שח","מכנסון גבר marker-שחור/כחול","","100","ביגוד","139.00","139","","","","","","","1A93054","635- מכנסון גבר ארנה איטליה","3468335311838","3468335311838"
"1A9305400105","מכנסון גבר marker-שח","מכנסון גבר marker-שחור/כחול","","105","ביגוד","139.00","139","","","","","","","1A93054","635- מכנסון גבר ארנה איטליה","3468335311845","3468335311845"
"1A930560085","מכנסון גבר marker-שח","מכנסון גבר marker-שחור/ירוק","","85","ביגוד","139.00","139","","","","","","","1A93056","635- מכנסון גבר ארנה איטליה","3468335311883","3468335311883"
"1A930560090","מכנסון גבר marker-שח","מכנסון גבר marker-שחור/ירוק","","90","ביגוד","139.00","139","","","","","","","1A93056","635- מכנסון גבר ארנה איטליה","3468335311890","3468335311890"
"1A930560095","מכנסון גבר marker-שח","מכנסון גבר marker-שחור/ירוק","","95","ביגוד","139.00","139","","","","","","","1A93056","635- מכנסון גבר ארנה איטליה","3468335311906","3468335311906"
"1A9305600100","מכנסון גבר marker-שח","מכנסון גבר marker-שחור/ירוק","","100","ביגוד","139.00","139","","","","","","","1A93056","635- מכנסון גבר ארנה איטליה","3468335311913","3468335311913"
"1A9305600105","מכנסון גבר marker-שח","מכנסון גבר marker-שחור/ירוק","","105","ביגוד","139.00","139","","","","","","","1A93056","635- מכנסון גבר ארנה איטליה","3468335311920","3468335311920"
"1A931780085","מכנסון גבר Turned-ני","מכנסון גבר Turned-נייבי/רויאל","","85","ביגוד","139.00","139","","","","","","","1A93178","635- מכנסון גבר ארנה איטליה","3468335312200","3468335312200"
"1A931780090","מכנסון גבר Turned-ני","מכנסון גבר Turned-נייבי/רויאל","","90","ביגוד","139.00","139","","","","","","","1A93178","635- מכנסון גבר ארנה איטליה","3468335312217","3468335312217"
"1A931780095","מכנסון גבר Turned-ני","מכנסון גבר Turned-נייבי/רויאל","","95","ביגוד","139.00","139","","","","","","","1A93178","635- מכנסון גבר ארנה איטליה","3468335312224","3468335312224"
"1A9317800100","מכנסון גבר Turned-ני","מכנסון גבר Turned-נייבי/רויאל","","100","ביגוד","139.00","139","","","","","","","1A93178","635- מכנסון גבר ארנה איטליה","3468335312231","3468335312231"
"1A9317800105","מכנסון גבר Turned-ני","מכנסון גבר Turned-נייבי/רויאל","","105","ביגוד","139.00","139","","","","","","","1A93178","635- מכנסון גבר ארנה איטליה","3468335312248","3468335312248"
"1A65356/34","W CARBON FLEX W","W CARBON FLEX WCE15 FBSLOB","","34","ביגוד","1,300.00","1300","","","","","","","1A65356","672- ב.ים מקצועי נשים","3468335317830","3468335317830"
"9359950000","תיק טרולי","תיק טרולי","","Os","ציוד","550.00","550","-3","-3","","","","","9359950","00113 תיקים","3468335348766","3468335348766"
"1A9155500XS","W TRISUIT ST RE","W TRISUIT ST REAR ZIP BLK-TURQ","","XS","ביגוד","499.00","499","1","1","","","","","1A91555","672- ב.ים מקצועי נשים","3468335352671","3468335352671"
"1A9155500S","W TRISUIT ST RE","W TRISUIT ST REAR ZIP BLK-TURQ","","S","ביגוד","499.00","499","","","","","","","1A91555","672- ב.ים מקצועי נשים","3468335352688","3468335352688"
"1A9155500M","W TRISUIT ST RE","W TRISUIT ST REAR ZIP BLK-TURQ","","M","ביגוד","499.00","499","","","","","","","1A91555","672- ב.ים מקצועי נשים","3468335352695","3468335352695"
"1A9155500L","W TRISUIT ST RE","W TRISUIT ST REAR ZIP BLK-TURQ","","L","ביגוד","499.00","499","","","","","","","1A91555","672- ב.ים מקצועי נשים","3468335352701","3468335352701"
"1A9195500S","M TRISUIT ST RE","M TRISUIT ST REAR ZIP BLK-TURQ","","S","ביגוד","499.00","499","1","1","","","","","1A91955","673- ב.ים מקצועי גבר","3468335352879","3468335352879"
"1A9195500M","M TRISUIT ST RE","M TRISUIT ST REAR ZIP BLK-TURQ","","M","ביגוד","499.00","499","","","","","","","1A91955","673- ב.ים מקצועי גבר","3468335352886","3468335352886"
"1A9195500L","M TRISUIT ST RE","M TRISUIT ST REAR ZIP BLK-TURQ","","L","ביגוד","499.00","499","1","1","","","","","1A91955","673- ב.ים מקצועי גבר","3468335352893","3468335352893"
"1A9195500XL","M TRISUIT ST RE","M TRISUIT ST REAR ZIP BLK-TURQ","","XL","ביגוד","499.00","499","","","","","","","1A91955","673- ב.ים מקצועי גבר","3468335352909","3468335352909"
"AR9501070000","PULL KICK BLUE","PULL KICK BLUE","","Os","ציוד","119.90","119.9","","","","","","","AR9501070","(14502)אביזרי שחיה","3468335354811","3468335354811"
"1B3223100S","מכנס ים קצר כתום","מכנס ים קצר כתום","","S","ביגוד","119.90","119.9","","","","","","","1B32231","630-מכנס ים גבר איטליה","3468335382340","3468335382340"
"1B3223100M","מכנס ים קצר כתום","מכנס ים קצר כתום","","M","ביגוד","119.90","119.9","","","","","","","1B32231","630-מכנס ים גבר איטליה","3468335382357","3468335382357"
"1B3223100L","מכנס ים קצר כתום","מכנס ים קצר כתום","","L","ביגוד","119.90","119.9","","","","","","","1B32231","630-מכנס ים גבר איטליה","3468335382364","3468335382364"
"1B3223100XL","מכנס ים קצר כתום","מכנס ים קצר כתום","","XL","ביגוד","119.90","119.9","","","","","","","1B32231","630-מכנס ים גבר איטליה","3468335382371","3468335382371"
"1B3223100XXL","מכנס ים קצר כתום","מכנס ים קצר כתום","","XXL","ביגוד","119.90","119.9","","","","","","","1B32231","630-מכנס ים גבר איטליה","3468335382388","3468335382388"
"AR1B3225100S","מכנס ים קצר שחור","מכנסי ים גבר Fundamentals X-Shorts","51","S","גברים","119.90","119.9","","","","","","","1B322","בגדי ים","3468335382449","3468335382449"
"AR1B3225100M","מכנס ים קצר שחור","מכנסי ים גבר Fundamentals X-Shorts","51","M","גברים","119.90","119.9","","","","","","","1B322","בגדי ים","3468335382456","3468335382456"
"AR1B3225100L","מכנס ים קצר שחור","מכנסי ים גבר Fundamentals X-Shorts","51","L","גברים","119.90","119.9","","","","","","","1B322","בגדי ים","3468335382463","3468335382463"
"AR1B3225100XL","מכנס ים קצר שחור","מכנסי ים גבר Fundamentals X-Shorts","51","XL","גברים","119.90","119.9","","","","","","","1B322","בגדי ים","3468335382470","3468335382470"
"AR1B3225100XXL","מכנס ים קצר שחור","מכנסי ים גבר Fundamentals X-Shorts","51","XXL","גברים","119.90","119.9","","","","","","","1B322","בגדי ים","3468335382487","3468335382487"
"AR1B3227100S","מכנס ים קצר נייבי","מכנסי ים גבר Fundamentals X-Shorts","71","S","גברים","119.90","119.9","","","","","","","1B322","בגדי ים","3468335382593","3468335382593"
"AR1B3227100M","מכנס ים קצר נייבי","מכנסי ים גבר Fundamentals X-Shorts","71","M","גברים","119.90","119.9","","","","","","","1B322","בגדי ים","3468335382609","3468335382609"
"AR1B3227100L","מכנס ים קצר נייבי","מכנסי ים גבר Fundamentals X-Shorts","71","L","גברים","119.90","119.9","","","","","","","1B322","בגדי ים","3468335382616","3468335382616"
"AR1B3227100XL","מכנס ים קצר נייבי","מכנסי ים גבר Fundamentals X-Shorts","71","XL","גברים","119.90","119.9","","","","","","","1B322","בגדי ים","3468335382623","3468335382623"
"AR1B3227100XXL","מכנס ים קצר נייבי","מכנסי ים גבר Fundamentals X-Shorts","71","XXL","גברים","119.90","119.9","","","","","","","1B322","בגדי ים","3468335382630","3468335382630"
"1B3228100S","מכנס ים קצר רויאל","מכנס ים קצר רויאל","","S","ביגוד","119.90","119.9","","","","","","","1B32281","630-מכנס ים גבר איטליה","3468335382647","3468335382647"
"1B3228100M","מכנס ים קצר רויאל","מכנס ים קצר רויאל","","M","ביגוד","119.90","119.9","","","","","","","1B32281","630-מכנס ים גבר איטליה","3468335382654","3468335382654"
"1B3228100L","מכנס ים קצר רויאל","מכנס ים קצר רויאל","","L","ביגוד","119.90","119.9","","","","","","","1B32281","630-מכנס ים גבר איטליה","3468335382661","3468335382661"
"1B3228100XL","מכנס ים קצר רויאל","מכנס ים קצר רויאל","","XL","ביגוד","119.90","119.9","","","","","","","1B32281","630-מכנס ים גבר איטליה","3468335382678","3468335382678"
"1B3228100XXL","מכנס ים קצר רויאל","מכנס ים קצר רויאל","","XXL","ביגוד","119.90","119.9","","","","","","","1B32281","630-מכנס ים גבר איטליה","3468335382685","3468335382685"
"AR1B3284100S","מכנס ים קלאסי אדום","מכנסי ים גבר Fundamentals Boxers","41","S","גברים","119.90","119.9","","","","","","","1B328","בגדי ים","3468335383392","3468335383392"
"AR1B3285100S","מכנס ים קלאסי שחור","מכנסי ים גבר Fundamentals Boxers","51","S","גברים","119.90","119.9","","","","","","","1B328","בגדי ים","3468335383446","3468335383446"
"AR1B3285100M","מכנס ים קלאסי שחור","מכנסי ים גבר Fundamentals Boxers","51","M","גברים","119.90","119.9","","","","","","","1B328","בגדי ים","3468335383453","3468335383453"
"AR1B3285100L","מכנס ים קלאסי שחור","מכנסי ים גבר Fundamentals Boxers","51","L","גברים","119.90","119.9","","","","","","","1B328","בגדי ים","3468335383460","3468335383460"
"AR1B3285100XL","מכנס ים קלאסי שחור","מכנסי ים גבר Fundamentals Boxers","51","XL","גברים","119.90","119.9","","","","","","","1B328","בגדי ים","3468335383477","3468335383477"
"AR1B3285100XXL","מכנס ים קלאסי שחור","מכנסי ים גבר Fundamentals Boxers","51","XXL","גברים","119.90","119.9","","","","","","","1B328","בגדי ים","3468335383484","3468335383484"
"AR1B3287100S","מכנס ים קלאסי נייבי","מכנסי ים גבר Fundamentals Boxers","71","S","גברים","119.90","119.9","","","","","","","1B328","בגדי ים","3468335383545","3468335383545"
"AR1B3287100M","מכנס ים קלאסי נייבי","מכנסי ים גבר Fundamentals Boxers","71","M","גברים","119.90","119.9","","","","","","","1B328","בגדי ים","3468335383552","3468335383552"
"AR1B3287100L","מכנס ים קלאסי נייבי","מכנסי ים גבר Fundamentals Boxers","71","L","גברים","119.90","119.9","","","","","","","1B328","בגדי ים","3468335383569","3468335383569"
"AR1B3287100XL","מכנס ים קלאסי נייבי","מכנסי ים גבר Fundamentals Boxers","71","XL","גברים","119.90","119.9","","","","","","","1B328","בגדי ים","3468335383576","3468335383576"
"AR1B3287100XXL","מכנס ים קלאסי נייבי","מכנסי ים גבר Fundamentals Boxers","71","XXL","גברים","119.90","119.9","","","","","","","1B328","בגדי ים","3468335383583","3468335383583"
"1B3285200S","מכנס ים קלאסי אפור","מכנס ים קלאסי אפור","","S","ביגוד","119.90","119.9","","","","","","","1B32852","630-מכנס ים גבר איטליה","3468335383644","3468335383644"
"1B3285200M","מכנס ים קלאסי אפור","מכנס ים קלאסי אפור","","M","ביגוד","119.90","119.9","","","","","","","1B32852","630-מכנס ים גבר איטליה","3468335383651","3468335383651"
"1B3285200L","מכנס ים קלאסי אפור","מכנס ים קלאסי אפור","","L","ביגוד","119.90","119.9","","","","","","","1B32852","630-מכנס ים גבר איטליה","3468335383668","3468335383668"
