"פריט","שם פריט","מחיר מכירה","סה''כ","ראשי","מכולה וינגייט","רמת גן","ספורט & מור רמלה","WIX"
"6653612003","דמבל נאופרן 3 ק""ג יח","48.00","-4","","","","","-4"
"6653612005","דמבל נאופרן 5 ק""ג יח","80.00","-2","","","","","-2"
"6653612010","דמבל נאופרן 10 ק""ג י","160.00","-2","","","","","-2"
"6653612015","דמבל נאופרן 1.5 ק""ג","22.00","-4","","","","","-4"
"6653612395","גומי לטקס בינוני","25.00","-1","","","","","-1"
"6653612396","גומי לטקס חזק","25.00","-4","","","","","-4"
"6653612413","גליל YORK","99.00","-20","-18","","","","-2"
"6653612436","דלגית YORK","30.00","-22","-17","","","","-5"
"8125010028","W PWSKIN ST 2.0","399.99","","","","","",""
"8125010030","W PWSKIN ST 2.0","399.99","","","","","",""
"8125010032","W PWSKIN ST 2.0","399.99","","","","","",""
"8125010034","W PWSKIN ST 2.0","399.99","","","","","",""
"8125010036","W PWSKIN ST 2.0","399.99","","","","","",""
"8125010038","W PWSKIN ST 2.0","399.99","","","","","",""
"8127010028","W PWSKIN ST 2.0","399.99","","","","","",""
"8127010030","W PWSKIN ST 2.0","399.99","","","","","",""
"8127010032","W PWSKIN ST 2.0","399.99","","","","","",""
"8127010034","W PWSKIN ST 2.0","399.99","","","","","",""
"8127010036","W PWSKIN ST 2.0","399.99","","","","","",""
"8127010038","W PWSKIN ST 2.0","399.99","","","","","",""
"8145010060","M PWSKIN ST 2.0","260.01","","","","","",""
"8145010065","M PWSKIN ST 2.0","260.01","","","","","",""
"8145010070","M PWSKIN ST 2.0","260.01","","","","","",""
"8145010075","M PWSKIN ST 2.0","260.01","","","","","",""
"8145010080","M PWSKIN ST 2.0","260.01","","","","","",""
"8147010060","M PWSKIN ST 2.0","260.01","","","","","",""
"8147010065","M PWSKIN ST 2.0","260.01","","","","","",""
"8147010070","M PWSKIN ST 2.0","260.01","","","","","",""
"8147010075","M PWSKIN ST 2.0","260.01","","","","","",""
"8147010080","M PWSKIN ST 2.0","260.01","","","","","",""
"9055000060","W PWSKIN CARBON","999.96","","","","","",""
"9055000065","W PWSKIN CARBON","999.96","","","","","",""
"9055000070","W PWSKIN CARBON","999.96","","","","","",""
"9055010060","W PWSKIN CARBON","999.96","","","","","",""
"9055010065","W PWSKIN CARBON","999.96","","","","","",""
"9055010070","W PWSKIN CARBON","999.96","","","","","",""
"9057900060","W PWSKIN CARBON","999.96","","","","","",""
"9057900065","W PWSKIN CARBON","999.96","","","","","",""
"9057900070","W PWSKIN CARBON","999.96","","","","","",""
"9155414000","כובע סיליקון תחרותי","62.00","","","","","",""
"9155471000","כובע סיליקון תחרותי","62.00","","","","","",""
