"פריט","שם פריט","מחיר מכירה","סה''כ","ראשי","מכולה וינגייט","רמת גן","ספורט & מור רמלה","WIX"
"196002729473","MLB New York Ya","120.00","-3","","","","","-3"
"196505322430","MLB New York Ya","120.00","-2","","","","","-2"
"196505322447","MLB New York Ya","120.00","-2","","","","","-2"
"196505322478","MLB New York Ya","120.00","-2","","","","","-2"
"196606812755","U NK DF CLUB CA","89.00","-3","","","","","-3"
"196884156879","UA Rival Fleece Crew","219.90","-2","","","","","-2"
"196884156930","UA Rival Fleece Crew","219.90","-2","","","","","-2"
"196884157104","UA Rival Fleece Crew","219.90","-2","","","","","-2"
"196884157135","UA Rival Fleece Crew","219.90","-1","","","","","-1"
"196884798604","UA Rival Fleece Crew","219.90","-1","","","","","-1"
"196884798628","UA Rival Fleece Crew","219.90","-2","","","","","-2"
"196884798666","UA Rival Fleece Crew","219.90","-1","","","","","-1"
"196884798734","UA Rival Fleece Crew","219.90","-2","","","","","-2"
"196885389757","UA HW LC PATCH","199.90","-2","","","","","-2"
"196885389764","UA HW LC PATCH","199.90","-3","","","","","-3"
"196885389771","UA HW LC PATCH","199.90","-1","","","","","-1"
"196885389788","UA HW LC PATCH","199.90","-1","","","","","-1"
"196885390159","UA HW LC PATCH","179.90","-3","","","","","-3"
"196885390166","UA HW LC PATCH","179.90","-2","","","","","-2"
"196885390173","UA HW LC PATCH","179.90","-1","","","","","-1"
"196885390197","UA HW LC PATCH","179.90","-3","","","","","-3"
"196885392436","UA HW LC PATCH","199.90","-2","","","","","-2"
"196885392443","UA HW LC PATCH","199.90","-3","","","","","-3"
"196885392450","UA HW LC PATCH","199.90","-1","","","","","-1"
"196885392474","UA HW LC PATCH","199.90","-2","","","","","-2"
"196885477300","UA LAUNCH 5'' 2","153.00","-2","","","","","-2"
"196885481123","UA LAUNCH 7'' S","127.00","-2","","","","","-2"
"196885481161","UA LAUNCH 7'' S","127.00","-2","","","","","-2"
"196885481185","UA LAUNCH 7'' S","127.00","-2","","","","","-2"
"196885481208","UA LAUNCH 7'' S","127.00","-3","","","","","-3"
"196885481321","UA LAUNCH 7'' S","127.00","-1","","","","","-1"
"196885482434","UA LAUNCH 5'' S","127.00","-14","","","","","-14"
"196885482519","UA LAUNCH 5'' S","127.00","-9","","","","","-9"
"196885482526","UA LAUNCH 5'' S","127.00","-8","","","","","-8"
"196885482533","UA LAUNCH 5'' S","127.00","-9","","","","","-9"
"196885482717","UA LAUNCH 5'' S","127.00","-1","","","","","-1"
"196885553486","UA Vanish Woven 6in","179.90","-1","","","","","-1"
"196885553493","UA Vanish Woven 6in","179.90","-2","","","","","-2"
"196885553509","UA Vanish Woven 6in","179.90","-1","","","","","-1"
"196885553523","UA Vanish Woven 6in","179.90","-3","","","","","-3"
"196885589287","UA Tech Tank גופייה","99.00","-1","","","","","-1"
"196885597169","UA Tech Texture","159.90","-2","","","","","-2"
"196885597183","UA Tech Texture","159.90","-2","","","","","-2"
"196885597190","UA Tech Texture","159.90","-1","","","","","-1"
"196885597213","UA Tech Texture","159.90","-3","","","","","-3"
"196885612411","""Pjt Rock Ultimate 5","99.00","-2","","","","","-2"
"196885612428","""Pjt Rock Ultimate 5","99.00","-3","","","","","-3"
"196885612435","""Pjt Rock Ultimate 5","99.00","-3","","","","","-3"
"196885612442","""Pjt Rock Ultimate 5","99.00","-1","","","","","-1"
"196885634734","UA GL FOUNDATIO","119.90","-4","","","","","-4"
"196885634789","UA GL FOUNDATIO","119.90","-2","","","","","-2"
"196885634932","UA GL FOUNDATIO","119.90","-1","","","","","-1"
"196885636110","UA GL FOUNDATIO","109.90","-2","","","","","-2"
"196885636172","UA GL FOUNDATIO","109.90","-3","","","","","-3"
"196885636202","UA GL FOUNDATIO","54.90","-2","","","","","-2"
"196885636226","UA GL FOUNDATIO","54.90","-1","","","","","-1"
"196895570732","MLB New York Ya","120.00","-2","","","","","-2"
"196895570794","MLB New York Ya","120.00","-3","","","","","-3"
"197596078619","NK PTCH NFS -FA24","99.00","-1","","","","","-1"
"197723848498","NY Yankees Base Runn","140.00","-2","","","","","-2"
"197774011100","NIKE FUEL JUG 4","180.00","-3","-3","","","",""
"197774011261","NIKE FUEL JUG 6","164.00","-3","-3","","","",""
"197777129079","UA LAUNCH 7'' S","127.00","-2","","","","","-2"
"197777129086","UA LAUNCH 7'' S","127.00","-2","","","","","-2"
"197777129147","UA LAUNCH 7'' S","127.00","-1","","","","","-1"
"197777129208","UA LAUNCH 7'' S","127.00","-1","","","","","-1"
"198488209036","W NP DF 365 TIG","189.00","-1","","","","","-1"
"198488370545","M NK DF PARK VI","99.00","-4","","","","","-4"
"198488430706","W NK DF PARK VI","99.00","-1","","","","","-1"
"198488895390","W NK DF PARK VI","99.00","-1","","","","","-1"
"198726104420","M NK DF PARK VI","99.00","-4","","","","","-4"
"198726260669","M NK DF PARK VI","99.00","-6","","","","","-6"
"198726264469","W NK DF PARK VI","99.00","-2","","","","","-2"
"198742302084","NY Yankees Base Runn","140.00","-2","","","","","-2"
"199073017074","TOUR SLAM LITE","249.00","-1","","","","","-1"
"199073018095","ENERGY XL TNS R","259.00","-1","","","","","-1"
"251085030030","W PWSKIN R-EVO+","1,489.98","","","","","",""
"251085030032","W PWSKIN R-EVO+","1,489.98","","","","","",""
"279125030060","M PWSKIN R-EVO+","1,800.00","","","","","",""
"279125030065","M PWSKIN R-EVO+","1,800.00","","","","","",""
"279125030070","M PWSKIN R-EVO+","1,800.00","","","","","",""
"279125030080","M PWSKIN R-EVO+","1,800.00","","","","","",""
"279125030085","M PWSKIN R-EVO+","1,800.00","","","","","",""
"362121454815","רצועות יד YORK למרימ","39.00","-5","","","","","-5"
"362149780121","קוביית יוגה YORK","30.00","-3","-1","","","","-2"
"362149780299","גליל יוגה קצר מלא","69.00","-4","-2","","","","-2"
"605296139726","BODY GLIDE נגד שפשפו","60.00","-23","-15","","","","-8"
"608037904935","באמפרס כפכפים נשים 3","89.00","-4","-3","","","","-1"
"608037904942","באמפרס כפכפים נשים 3","89.00","-15","-12","","","","-3"
"608037904959","באמפרס כפכפים נשים 3","89.00","-19","-11","","","","-8"
"608037904966","באמפרס כפכפים נשים 4","89.00","-12","-9","","","","-3"
"608037904973","באמפרס כפכפים 41-42","89.00","-36","-22","","","","-14"
"608037904980","באמפרס כפכפים 43/44","89.00","-27","-18","","","","-9"
"608037904997","באמפרס כפכפים 45/46","89.00","-38","-27","","","","-11"
"608037905000","באמפרס כפכפים 47/48","89.00","-12","-8","","","","-4"
"608037907332","BUMPERS WINTER37-38","89.00","-2","","","","","-2"
"608037907356","באמפרס BUMPERS WINTE","89.00","-3","-1","","","","-2"
"608037907363","באמפרס BUMPERS WINTE","89.00","-3","-1","","","","-2"
"608037907370","באמפרס BUMPERS WINTE","89.00","-1","","","","","-1"
"608037907387","באמפרס BUMPERS WINTE","89.00","-1","","","","","-1"
"617823003349","בקבוק POLAR","89.00","-3","-3","","","",""
"617823003356","בקבוק POLAR","89.00","-3","-3","","","",""
"617823003363","בקבוק POLAR","89.00","-15","-15","","","",""
"617823003370","בקבוק POLAR","89.00","-4","-4","","","",""
"617823003400","בקבוק POLAR","89.00","-1","-1","","","",""
"691535529014","חטיף NOGO/TRUST","16.00","","","","","",""
"693493239752","בוקסר קלאסי 2 יח במא","79.00","-6","","","","","-6"
"693493239769","בוקסר ארוך 2 יח במאר","89.00","-1","","","","","-1"
"701309945027","נרתיק ריצה לנייד עד","45.00","-4","-1","","","","-3"
"710497788007","בוקסר קלאסי 2 יח במא","79.00","-1","","","","","-1"
"710497788014","בוקסר קלאסי 2 יח במא","79.00","-11","","","","","-11"
"710497788021","בוקסר קלאסי 2 יח במא","79.00","-17","","","","","-17"
"710497788038","בוקסר קלאסי 2 יח במא","79.00","-12","","","","","-12"
"710497788045","בוקסר קלאסי 2 יח במא","79.00","-5","","","","","-5"
"710497788069","בוקסר ארוך 2 יח במאר","89.00","-9","","","","","-9"
"710497788076","בוקסר ארוך 2 יח במאר","89.00","-11","","","","","-11"
"710497788083","בוקסר ארוך 2 יח במאר","89.00","-12","","","","","-12"
"710497788090","בוקסר ארוך 2 יח במאר","89.00","-7","","","","","-7"
"710497788434","חולצת גבר לבן ניקי","89.00","-1","","","","","-1"
"710497788441","חולצת גבר לבן ניקי","89.00","-1","","","","","-1"
"710497788465","חולצת גבר לבן ניקי","89.00","-1","","","","","-1"
"710497788588","חולצת שחור קצר ניקי","89.00","-5","","","","","-5"
"710497788595","חולצת שחור קצר ניקי","89.00","-1","","","","","-1"
"710497788601","חולצת שחור קצר ניקי","89.00","-3","","","","","-3"
"710497788618","חולצת שחור קצר ניקי","89.00","-1","","","","","-1"
"710497788656","חולצת נייבי קצר ניקי","89.00","-1","","","","","-1"
"710497788663","חולצת נייבי קצר ניקי","89.00","-1","","","","","-1"
"710497788670","חולצת נייבי קצר ניקי","89.00","-1","","","","","-1"
"710497788687","חולצת נייבי קצר ניקי","99.00","-1","","","","","-1"
"710497788694","חולצת נייבי קצר ניקי","89.00","-1","","","","","-1"
"715280476611","נודל שחייה","14.90","","","","","",""
"722252130044","חטיף אנגיה CLIF","12.00","","","","","",""
"722252130082","חטיף אנגיה CLIF","12.00","-1","-1","","","",""
"722252130099","חטיף אנגיה CLIF","12.00","-1","-1","","","",""
"722252130228","חטיף אנגיה CLIF","12.00","","","","","",""
"722252601414","חטיף חלבון גדול ALLI","17.00","","","","","",""
"722252601421","חטיף חלבון 20G גדול","17.00","","","","","",""
"737899586024","6PK Legacy No Show B","89.00","9","-1","","","","10"
"737899586048","6PK Legacy No Show W","89.00","27","","","","","27"
"737899586055","6PK Legacy No Show B","89.00","6","","","","","6"
"737899586079","6PK Legacy No Show W","89.00","21","-1","","","","22"
"737899630093","6PK ALL BLACK ASSOR","59.00","8","-2","","","","10"
"737899724983","3PK Inferno Ultralig","59.00","17","-3","","","","20"
"737899725003","3PK Inferno Ultralig","49.00","16","-4","","","","20"
"737899725072","3PK Inferno Ultralig","59.00","20","","","","","20"
"737899725096","3PK Inferno Ultralig","59.00","19","","","","","19"
"769493100016","GU GEL","12.00","-107","-41","","","","-66"
"769493100023","GU GEL","8.00","-130","-64","","","","-66"
"769493100054","GU GEL","12.00","-74","-19","","","","-55"
"769493100078","GU GEL","8.00","-102","-43","","","","-59"
"769493100085","ג'ל אנרגיה GU Gel Le","8.00","-14","-5","","","","-9"
"769493100092","GU GEL","8.00","-52","-40","","","","-12"
"769493100122","GU GEL","12.00","-7","-7","","","",""
"769493100184","GU GEL","8.00","-74","-72","","","","-2"
"769493100207","GU GEL","12.00","-6","-1","","","","-5"
"769493101365","אבקת משקה אנרגיה GU","12.00","","","","","",""
"769493101433","סוכריות אנרגיה GU","12.00","","","","","",""
"769493101464","סוכריות אנרגיה GU","12.00","-2,471","-2,471","","","",""
"769493101631","חטיף אנגיה GU","10.00","-51","-46","","","","-5"
"769493101648","חטיף אנגיה GU","10.00","-1,906","-1,887","","","","-19"
"769493101655","חטיף אנגיה GU","10.00","-111","-97","","","","-14"
"769493101662","חטיף אנגיה GU","10.00","-12","-12","","","",""
"769493102515","חטיף אנגיה GU","10.00","-46","-40","","","","-6"
"769493102614","GU GEL","8.00","-108","-49","","","","-59"
"769493102683","GU Stroopwafel Campf","10.00","-36","-25","","","","-11"
"769493103765","GU GEL","8.00","-7","34","","","","-41"
"769493103956","אבקת משקה אנרגיה GU","249.00","-2","","","","","-2"
"769493104380","סוכריות אנרגיה GU תו","15.00","-9","-2","","","","-7"
"769493104403","סוכריות אנרגיה בטעם","17.00","-3","","","","","-3"
"769493104755","כדוריות תמיסת מלח GU","40.00","-59","-34","","","","-25"
"769493104762","כדוריות תמיסת מלח GU","40.00","-79","-66","","","","-13"
"769493200440","ג'ל אנרגיה GU Roctan","13.00","-1","","","","","-1"
"769493200518","GU GEL","8.00","-5,710","-5,678","","","","-32"
"769493201911","כדוריות תמיסת מלח GU","40.00","-80","-75","","","","-5"
"769493201935","כדוריות תמיסת מלח GU","40.00","-40","-27","","","","-13"
"769493501585","כדוריות תמיסת מלח GU","40.00","-52","-35","","","","-17"
"769493501592","כדוריות תמיסת מלח GU","40.00","-32","-27","","","","-5"
"769494130029","אבקה להכנת משקה ROCT","220.00","-1","","","","","-1"
"788364263346","בוקסרארוך אפור 2 יח","89.00","-1","","","","","-1"
"788364263391","במבוק קצר נייבי 2 יח","79.00","-1","","","","","-1"
"788364263407","בוקסר במבו קצר - אפו","79.00","-2","","","","","-2"
"788364263674","בוקסר ארוך 2 יח במאר","89.00","-2","","","","","-2"
"788364263681","בוקסר ארוך 2 יח במאר","89.00","-2","","","","","-2"
"788364263735","במבוק קצר אפור 2 יח","79.00","-1","","","","","-1"
"788364263797","בוקסר ארוך 2 יח במאר","89.00","-2","","","","","-2"
"788364263810","Over size bamboo/cot","129.00","-1","","","","","-1"
"788364263827","Over size bamboo/cot","129.00","-2","","","","","-2"
"788364263834","Over size bamboo/cot","129.00","-2","","","","","-2"
"788364263841","Over size bamboo/cot","129.00","-1","","","","","-1"
"788364263858","Over size bamboo/cot","129.00","-1","","","","","-1"
"788364264022","Over size bamboo/cot","129.00","-1","","","","","-1"
"788364264039","Over size bamboo/cot","129.00","-2","","","","","-2"
"788364264046","Over size bamboo/cot","129.00","-2","","","","","-2"
"788364264053","Over size bamboo/cot","129.00","-1","","","","","-1"
"788364264060","Over size bamboo/cot","129.00","-1","","","","","-1"
"788364264091","Over size bamboo/cot","129.00","-1","","","","","-1"
"788364264107","Over size bamboo/cot","129.00","-1","","","","","-1"
"788364264114","Over size bamboo/cot","129.00","-2","","","","","-2"
"788364264121","Over size bamboo/cot","129.00","-1","","","","","-1"
"788364264138","Over size bamboo/cot","129.00","-1","","","","","-1"
"831345005005","סט גומיות אימון 3 הת","79.00","-1","","","","","-1"
"845840057988","NIKE SWOOSH WRI","47.90","-5","","","","","-5"
"845840058275","NIKE SWOOSH HEA","39.92","-6","","","","","-6"
"845840058480","NIKE SWOOSH HEA","39.90","-6","","","","","-6"
"856591000574","עבאדי 40 גרם","5.00","-144","-144","","","",""
"886952769055","1J793 - שרקול א/ס גב","","","","","","",""
"886952782863","M9697 X9697 - נייבי","","","","","","",""
"887768174699","US OPEN XD TBALL 3","35.00","-2","","","","","-2"
"887768196493","כדור טנייס-TEAM W 4T","35.00","-8","","","","","-8"
"887768403096","FIBA 3X3 REPLIC","159.00","-1","","","","","-1"
"887791197733","NIKE BIG MOUTH","48.00","-16","-8","","","","-8"
"887791197740","NIKE BIG MOUTH","48.00","-10","-1","","","","-9"
"887791197764","NIKE BIG MOUTH","48.00","","","","","",""
"887791197788","NIKE BIG MOUTH","40.00","","","","","",""
"887791197795","NIKE BIG MOUTH","40.00","","","","","",""
"887791197801","NIKE BIG MOUTH","50.00","-1","-1","","","",""
"887791197818","NIKE BIG MOUTH","48.00","-17","-9","","","","-8"
"887791197825","NIKE BIG MOUTH","39.90","-6","","","","","-6"
"887791401779","NIKE EVERYDAY PLAYGR","90.00","-2","","","","","-2"
"887791401793","NIKE EVERYDAY PLAYGR","95.90","-6","","","","","-6"
"887791402387","NIKE EVERYDAY ALL CO","159.90","-3","","","","","-3"
"887791402394","NIKE W GYM ESSE","99.00","-2","","","","","-2"
"887791410641","NIKE FUEL JUG 6","164.00","-11","-10","","","","-1"
"887791410689","NIKE FUEL JUG 6","159.90","-11","-9","","","","-2"
"887791410719","NIKE FUEL JUG 4","144.00","-12","-10","","","","-2"
"887791410900","NIKE FUEL JUG 4","180.00","-4","-2","","","","-2"
"887791410917","NIKE FUEL JUG 4","144.00","-12","-10","","","","-2"
"887791745033","NIKE REFUEL BOT","55.90","-1","","","","","-1"
"887791745101","NIKE REFUEL BOT","80.00","-3","-3","","","",""
"887791745149","NIKE REFUEL BOT","64.00","-14","-4","","","","-10"
"887791745156","NIKE REFUEL BOT","65.00","-21","-15","","","","-6"
"887791745187","NIKE REFUEL BOT","79.00","-8","","","","","-8"
"887791745200","NIKE REFUEL BOT","65.00","-22","-15","","","","-7"
"887791745231","NIKE REFUEL BOT","80.00","-3","-3","","","",""
"887791745248","NIKE REFUEL BOT","80.00","-21","-16","","","","-5"
"887791745286","NIKE REFUEL BOT","65.00","-17","-12","","","","-5"
"887791745309","NIKE REFUEL BOT","75.00","-1","","","","","-1"
"887791745323","NIKE REFUEL BOT","65.00","-24","-15","","","","-9"
"887791745491","NIKE W GYM ESSE","99.00","-4","","","","","-4"
"887791747518","NIKE REFUEL BOT","65.00","-9","-5","","","","-4"
"887791747556","NIKE REFUEL BOT","79.00","-15","-8","","","","-7"
"887791778260","NIKE FUEL JUG 6","164.00","-10","-9","","","","-1"
"887791778383","NIKE FUEL JUG 4","145.01","-5","-3","","","","-2"
"887791778499","NIKE W VAPOR EL","143.90","-3","","","","","-3"
"887791778512","NIKE VAPOR FG B","143.90","-5","","","","","-5"
"887791778529","NIKE VAPOR FG B","143.90","-3","","","","","-3"
"887791778543","NIKE VAPOR FG B","143.90","-2","","","","","-2"
"887791778833","NIKE W VAPOR EL","143.90","-2","","","","","-2"
"887791778840","NIKE W VAPOR FG","99.00","-9","","","","","-9"
"887791778857","NIKE VAPOR FG B","143.90","-6","","","","","-6"
"887791784544","NIKE W GYM ESSE","99.00","-3","","","","","-3"
"887791784568","NIKE W GYM ESSE","99.00","-3","","","","","-3"
"887791784575","NIKE M GYM ESSE","99.00","-7","","","","","-7"
"887791784582","NIKE W GYM ESSE","99.00","-2","","","","","-2"
"887791784599","NIKE W GYM ESSE","99.00","-4","","","","","-4"
"887791784612","NIKE W GYM ESSE","99.00","-1","","","","","-1"
"887791784629","NIKE M GYM ESSE","99.00","-6","","","","","-6"
"887791784643","NIKE M GYM ESSE","99.00","-5","","","","","-5"
"887791784650","NIKE M GYM ESSE","89.10","-5","","","","","-5"
"887791805362","NIKE FUEL JUG 6","164.00","-2","-2","","","",""
"887791805546","NIKE FUEL JUG 4","144.00","-11","-9","","","","-2"
"887791805591","NIKE FUEL JUG 6","164.00","-4","-4","","","",""
"887791805768","NIKE FUEL JUG 4","144.00","-5","-5","","","",""
"887791805959","NIKE FUEL JUG 4","180.00","-4","-4","","","",""
"887791805997","NIKE FUEL JUG 6","164.00","-2","-2","","","",""
"887791806277","Nike Swoosh Wristban","48.00","-1","","","","","-1"
"887791808400","NIKE SWOOSH WRI","47.90","-3","","","","","-3"
"887791809483","NIKE SWOOSH CLA","45.00","-3","","","","","-3"
"887791810410","NIKE SWOOSH CLA","45.00","-2","","","","","-2"
"888407237270","U NK EVERYDAY L","59.00","-8","","","","","-8"
"888407237287","U NK EVERYDAY L","59.00","-20","","","","","-20"
"888407239007","U NK ED LTWT ANKLE 3","59.00","-6","","","","","-6"
"888407239113","U NK ED LTWT ANKLE 3","59.00","-18","","","","","-18"
"923524165287","גומיית התנגדות ידיות","39.00","-7","-7","","","",""
"1111111111112","FLAT SILICON CA","70.00","","","","","",""
"1111111111113","FLAT SILICON CA","70.00","","","","","",""
"1111111111114","MOULDED ISRAEL","70.00","","","","","",""
"1111111111115","FLAT SILICON CA","70.00","","","","","",""
"1200143836446","ACTIV COLL RBK-","129.90","1","","","","","1"
"1200143836453","ACTIV COLL RBK-","129.90","2","","","","","2"
"1200143836460","ACTIV COLL RBK-","129.90","2","","","","","2"
"1200143836477","ACTIV COLL RBK-","129.90","","","","","",""
"1200143836484","ACTIV COLL RBK-","129.90","1","","","","","1"
"1200161499258","ACTIV COLL RBK-","129.90","2","","","","","2"
"1200161499265","ACTIV COLL RBK-","129.90","2","","","","","2"
"1200161499272","ACTIV COLL RBK-","129.90","1","","","","","1"
"1200161499289","ACTIV COLL RBK-","129.90","1","","","","","1"
"1200161499296","ACTIV COLL RBK-","129.90","","","","","",""
"1200175183365","CLAXON 2PC TRAC","399.90","2","","","","","2"
"1200175183372","CLAXON 2PC TRAC","399.90","2","","","","","2"
"1200175183389","CLAXON 2PC TRAC","399.90","","","","","",""
"1200175183396","CLAXON 2PC TRAC","399.90","2","","","","","2"
"1200175183402","CLAXON 2PC TRAC","399.90","1","","","","","1"
"1200175183419","CLAXON 2PC TRAC","399.90","1","","","","","1"
"1200175334279","NOAH SMALL LOGO","229.90","3","","","","","3"
"1200175334286","NOAH SMALL LOGO","229.90","2","","","","","2"
"1200175334293","NOAH SMALL LOGO","229.90","","","","","",""
"1200175334309","NOAH SMALL LOGO","229.90","","","","","",""
"1200175334811","NOAH SMALL LOGO","199.90","2","","","","","2"
"1200175334828","NOAH SMALL LOGO","199.90","1","","","","","1"
"1200175334835","NOAH SMALL LOGO","199.90","","","","","",""
"1200175334842","NOAH SMALL LOGO","199.90","1","","","","","1"
"1200175906612","ID TRAIN SS TEC","99.90","","","","","",""
"1200175906643","ID TRAIN SS TEC","99.90","1","","","","","1"
"1200175906674","ID TRAIN SS TEC","99.90","","","","","",""
"1200175906704","ID TRAIN SS TEC","99.90","","","","","",""
"1200175906735","ID TRAIN SS TEC","99.90","","","","","",""
"1200175907329","ID TRAIN SS TEC","99.90","1","","","","","1"
"1200175907367","ID TRAIN SS TEC","99.90","1","","","","","1"
"1200175907398","ID TRAIN SS TEC","99.90","","","","","",""
"1200175907411","ID TRAIN SS TEC","99.90","","","","","",""
"1200175907459","ID TRAIN SS TEC","99.90","","","","","",""
"1200175909910","ID TRAIN SS TEC","99.90","","","","","",""
"1200175909941","ID TRAIN SS TEC","99.90","1","","","","","1"
"1200175909972","ID TRAIN SS TEC","99.90","","","","","",""
"1200175910008","ID TRAIN SS TEC","99.90","","","","","",""
"1200175910039","ID TRAIN SS TEC","99.90","","","","","",""
"1200175952114","RBK CHILL ATHLE","129.90","1","","","","","1"
"1200175952145","RBK CHILL ATHLE","129.90","2","","","","","2"
"1200175952176","RBK CHILL ATHLE","129.90","1","","","","","1"
"1200175952206","RBK CHILL ATHLE","129.90","1","","","","","1"
"1200175952664","RBK CHILL ATHLE","129.90","2","","","","","2"
"1200175953982","KENDAL CORE STR","179.90","1","","","","","1"
"1200175954149","KENDAL CORE STR","179.90","","","","","",""
"1200175954170","KENDAL CORE STR","179.90","","","","","",""
"1200179121134","LUX HI-RISE TIG","179.90","1","","","","","1"
"1200179121141","LUX HI-RISE TIG","179.90","1","","","","","1"
"1200179121158","LUX HI-RISE TIG","179.90","","","","","",""
"1200179121165","LUX HI-RISE TIG","179.90","","","","","",""
"1200179121172","LUX HI-RISE TIG","179.90","1","","","","","1"
"1234556678999","קרש משולש כחול","99.00","-38","-38","","","",""
"1514645121452","גומיית שיער בשקל","1.00","-22","","","","","-22"
"2200006538295","כדור זיזים 9","15.00","-4","","","","","-4"
"2200006538301","**כדור זיזים 7","10.00","-4","","","","","-4"
"2525252525251","כובע באקט מכביה 25","50.00","-10","-10","","","",""
"2525252525252","כובע מצחייה מכביה 25","80.00","-21","-21","","","",""
"2525252525253","סיכת מכביה 2022","15.00","-39","-39","","","",""
"3468330910395","MAY LOW בגד ים נשים","219.90","-1","-1","","","",""
"3468330910401","MAY LOW בגד ים נשים","219.90","","","","","",""
"3468330910418","MAY LOW בגד ים נשים","219.90","","","","","",""
"3468330910425","MAY LOW בגד ים נשים","219.90","","","","","",""
"3468330910432","MAY LOW בגד ים נשים","219.90","","","","","",""
"3468330987076","MAY LOW בגד ים נשים","219.90","","","","","",""
"3468330987083","ב.ים שלם מודפס נשים","219.90","-3","-3","","","",""
"3468330987090","ב.ים שלם מודפס נשים","219.90","2","2","","","",""
"3468330987106","ב.ים שלם מודפס נשים","219.90","","","","","",""
"3468331017086","אטמי אוזניים סיליקון","23.90","","","","","",""
"3468331414632","טיפות אנטי פוג","24.00","","","","","",""
"3468331419613","כובע POLYESTER נשים+","14.90","","","","","",""
"3468331419637","כובע POLYESTER נשים+","14.90","","","","","",""
"3468331419644","כובע POLYESTER נשים+","14.90","","","","","",""
"3468331817327","תחרותי בנים FX","1,399.00","1","1","","","",""
"3468332169258","PULL KICK קרש אימוני","119.90","","","","","",""
"3468332324060","SUPER NOSE CLIP II א","39.90","-1","-1","","","",""
"3468332550391","תיק רשת ארנה חול-שחו","39.90","","","","","",""
"3468332716643","כובע POLYESTER נשים+","14.90","","","","","",""
"3468332942974","משקפת I-MAX-שקוף עדש","99.90","","","","","",""
"3468332942998","משקפת I-MAX-שחור עדש","99.90","","","","","",""
"3468332943025","I-MAX JR שקוף/כחול","49.90","","","","","",""
"3468332943049","אפור I-MAX JR","49.90","","","","","",""
"3468332943056","I-MAX JRורוד","49.90","","","","","",""
"3468333250900","משקפת וולקן פרו שחור","49.90","","","","","",""
"3468333250986","משקפת אקס ריי חדשה","59.90","","","","","",""
"3468333252096","משקפת וולקן פרו ילדי","79.90","","","","","",""
"3468333252140","I-MAX JRכחול","99.90","","","","","",""
"3468333252263","משקפת ילדים spider","79.90","","","","","",""
"3468333252270","משקפת ילדים ונוער sp","79.90","253","3","","","246","4"
"3468333252287","משקפת ילדים ונוער sp","79.90","201","7","","","192","2"
"3468333252294","משקפת ספיידר ילדים א","69.90","","","","","",""
"3468333261555","תיק גב קבוצות ארנה א","150.00","","","","","",""
"3468333308359","אטמי אוזניים פלאג 3","34.90","","","","","",""
"3468333308397","מכנס התנגדות לאימוני","89.90","","","","","",""
"3468333308403","מכנס התנגדות לאימוני","89.90","","","","","",""
"3468333309257","קליפס אף מקצועי חדש","34.90","","","","","",""
"3468333312202","קליפס אף מיקס צבעים","34.90","","","","","",""
"3468333312219","קליפס אף מקצועי חדש","29.90","","","","","",""
"3468333428989","MAKIMURAX LOW C CUP","299.90","","","","","",""
"3468333428996","MAKIMURAX LOW C CUP","299.90","","","","","",""
"3468333429009","MAKIMURAX LOW C CUP","299.90","","","","","",""
"3468333429016","MAKIMURAX LOW C CUP","299.90","","","","","",""
"3468333429023","MAKIMURAX LOW C CUP","299.90","","","","","",""
"3468333429030","MAKIMURAX LOW C CUP","299.90","","","","","",""
"3468333455855","משקפת קוברה מראה ארנ","199.90","","","","","",""
"3468333455862","משקפת קוברה מראה ארנ","139.00","","","","","",""
"3468333455879","משקפת קוברה מראה כחו","199.90","","","","","",""
"3468333455886","משקפת קוברה ארנה שקו","179.00","","","","","",""
"3468333455893","משקפת קוברה ארנה","179.00","","","","","",""
"3468333455909","משקפת קוברה שחור","179.00","","","","","",""
"3468333455916","משקפת קוברה ארנה שחו","179.00","","","","","",""
"3468333456005","תיק רשת ארנה חול-רוי","39.90","","","","","",""
"3468333456012","תיק רשת ארנה חול-פוק","39.90","","","","","",""
"3468333569484","כובע 3D RACE","70.00","","","","","",""
"3468333569507","כובע סיליקון תחרותי","79.90","","","","","",""
"3468333569521","כובע 3D RACE","","","","","","",""
"3468333569637","משקפת אורביט(גדולה)","139.90","","","","","",""
"3468333569828","PULL KICK קרש אימוני","119.90","","","","","",""
"3468333569835","FREEFLOW PULLBUOY פו","69.90","","","","","",""
"3468333569927","קרש שחיה ארנה","99.90","","","","","",""
"3468333570152","מגבת מיקרופייבר ייבו","29.90","","","","","",""
"3468333572521","חזיית ספורט לאורטאס","199.90","","","","","",""
"3468333572538","חזיית ספורט לאורטאס","199.90","","","","","",""
"3468333572545","חזיית ספורט לאורטאס","199.90","","","","","",""
"3468333572552","חזיית ספורט לאורטאס","199.90","","","","","",""
"3468333572576","חזיית ספורט לאורטאס","199.90","","","","","",""
"3468333572583","חזיית ספורט לאורטאס","199.90","","","","","",""
"3468333572590","חזיית ספורט לאורטאס","199.90","","","","","",""
"3468333572606","חזיית ספורט לאורטאס","199.90","","","","","",""
"3468333638371","סנפיר קצר(פאורפין) ח","189.00","","","","","",""
"3468333638388","סנפיר קצר(פאורפין) ח","189.00","","","","","",""
"3468333638395","סנפיר קצר(פאורפין) ח","189.00","","","","","",""
"3468333638401","סנפיר קצר(פאורפין) ח","189.00","","","","","",""
