"מק""ט",תאור,ברקוד,תאור לועזי,סטטוס,טיפוס,לטיפול,יח' קניה/מכירה,משפחת מוצר/קוד מיון,תאור משפחה,פריט מרכז?,ספק מועדף,שם ספק,סרגל מידות,שם סרגל מידות,מחיר מקור לצרכן,מטבע המחירון,מחיר קניה,מטבע קניה,"מחיר בסיס כולל מע""מ",מחיר במחירון POS,"מחיר כולל מע""מ POS",פריט מקביל,מותג11,תאור פרמטר 11 למוצר,דיויזן12,תאור פרמטר 12 למוצר,מגדר13,תאור פרמטר 13 למוצר,עונה/שנה14,תאור פרמטר 14 למוצר,עונה15,תאור פרמטר 15 למוצר,ספורט ענף17,במחסן מחלקה19,קוד מיון אליטל,צבע,תאור צבע,סטטוס בפריוריטי
AR000400701,3D SOFT,AR000400701,3D SOFT,פעיל,R,revital_m,יח',00610,כובעי שחייה ארנה,Y,3100310055,ARENA ITALIA SPA,74,ארנה,169,שח,8.279999999999999,EUR,199.42,143.22,169,000400701,40029,ארנה,14,ציוד,30,יוניסקס,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,701,NAVY,חדש
AR000400721,3D SOFT,AR000400721,3D SOFT,פעיל,R,revital_m,יח',00610,כובעי שחייה ארנה,Y,3100310055,ARENA ITALIA SPA,74,ארנה,169,שח,8.279999999999999,EUR,199.42,143.22,169,000400721,40029,ארנה,14,ציוד,30,יוניסקס,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,721,ROYAL,חדש
AR001198106,W ARENA ONE BIGLOGO ONE PIECE,AR001198106,W ARENA ONE BIGLOGO ONE PIECE,פעיל,R,revital_m,יח',00601,בגדי ים נשים ארנה,Y,3100310055,ARENA ITALIA SPA,23,טכסטיל מס.  26<64,209,שח,10.74,EUR,246.62,177.12,209,001198106,40029,ארנה,12,ביגוד,32,נשים,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,106,WHITE-GOLD_R,חדש
AR001198555,W ARENA ONE BIGLOGO ONE PIECE,AR001198555,W ARENA ONE BIGLOGO ONE PIECE,פעיל,R,revital_m,יח',00601,בגדי ים נשים ארנה,Y,3100310055,ARENA ITALIA SPA,23,טכסטיל מס.  26<64,209,שח,10.74,EUR,246.62,177.12,209,001198555,40029,ארנה,12,ביגוד,32,נשים,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,555,BLACK-SILVER_R,חדש
AR001198560,W ARENA ONE BIGLOGO ONE PIECE,AR001198560,W ARENA ONE BIGLOGO ONE PIECE,פעיל,R,revital_m,יח',00601,בגדי ים נשים ארנה,Y,3100310055,ARENA ITALIA SPA,23,טכסטיל מס.  26<64,209,שח,10.74,EUR,246.62,177.12,209,001198560,40029,ארנה,12,ביגוד,32,נשים,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,560,BLACK-BLUE COSMO,חדש
AR001198609,W ARENA ONE BIGLOGO ONE PIECE,AR001198609,W ARENA ONE BIGLOGO ONE PIECE,פעיל,R,revital_m,יח',00601,בגדי ים נשים ארנה,Y,3100310055,ARENA ITALIA SPA,23,טכסטיל מס.  26<64,209,שח,10.74,EUR,246.62,177.12,209,001198609,40029,ארנה,12,ביגוד,32,נשים,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,609,BLUE COSMO-PURPLE,חדש
AR001198730,W ARENA ONE BIGLOGO ONE PIECE,AR001198730,W ARENA ONE BIGLOGO ONE PIECE,פעיל,R,revital_m,יח',00601,בגדי ים נשים ארנה,Y,3100310055,ARENA ITALIA SPA,23,טכסטיל מס.  26<64,209,שח,10.74,EUR,246.62,177.12,209,001198730,40029,ארנה,12,ביגוד,32,נשים,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,730,NAVY-TEAM ORANGE,חדש
AR001198888,W ARENA ONE BIGLOGO ONE PIECE,AR001198888,W ARENA ONE BIGLOGO ONE PIECE,פעיל,R,revital_m,יח',00601,בגדי ים נשים ארנה,Y,3100310055,ARENA ITALIA SPA,23,טכסטיל מס.  26<64,209,שח,10.74,EUR,246.62,177.12,209,001198888,40029,ארנה,12,ביגוד,32,נשים,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,888,TURQUOISE-NEON BLUE,חדש
AR001198899,W ARENA ONE BIGLOGO ONE PIECE,AR001198899,W ARENA ONE BIGLOGO ONE PIECE,פעיל,R,revital_m,יח',00601,בגדי ים נשים ארנה,Y,3100310055,ARENA ITALIA SPA,23,טכסטיל מס.  26<64,209,שח,10.74,EUR,246.62,177.12,209,001198899,40029,ארנה,12,ביגוד,32,נשים,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,899,WATER-PURPLE,חדש
AR001198908,W ARENA ONE BIGLOGO ONE PIECE,AR001198908,W ARENA ONE BIGLOGO ONE PIECE,פעיל,R,revital_m,יח',00601,בגדי ים נשים ארנה,Y,3100310055,ARENA ITALIA SPA,23,טכסטיל מס.  26<64,209,שח,10.74,EUR,246.62,177.12,209,001198908,40029,ארנה,12,ביגוד,32,נשים,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,908,PLUM-WATER,חדש
AR001198960,W ARENA ONE BIGLOGO ONE PIECE,AR001198960,W ARENA ONE BIGLOGO ONE PIECE,פעיל,R,revital_m,יח',00601,בגדי ים נשים ארנה,Y,3100310055,ARENA ITALIA SPA,23,טכסטיל מס.  26<64,209,שח,10.74,EUR,246.62,177.12,209,001198960,40029,ארנה,12,ביגוד,32,נשים,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,960,FRESIA ROSE-BLUE COSMO,חדש
AR001225410,W T-SHIRT TEAM,AR001225410,W T-SHIRT TEAM,פעיל,R,revital_m,יח',00616,ביגוד אימונים ארנה,Y,3100310055,ARENA ITALIA SPA,74,ארנה,169,שח,8.5,EUR,199.42,143.22,169,001225410,40029,ארנה,12,ביגוד,32,נשים,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,410,RED-WHITE-RED,חדש
AR001225510,W T-SHIRT TEAM,AR001225510,W T-SHIRT TEAM,פעיל,R,revital_m,יח',00616,ביגוד אימונים ארנה,Y,3100310055,ARENA ITALIA SPA,74,ארנה,169,שח,8.5,EUR,199.42,143.22,169,001225510,40029,ארנה,12,ביגוד,32,נשים,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,510,BLACK-WHITE-BLACK,חדש
AR001225710,W T-SHIRT TEAM,AR001225710,W T-SHIRT TEAM,פעיל,R,revital_m,יח',00616,ביגוד אימונים ארנה,Y,3100310055,ARENA ITALIA SPA,74,ארנה,169,שח,8.5,EUR,199.42,143.22,169,001225710,40029,ארנה,12,ביגוד,32,נשים,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,710,NAVY-WHITE-NAVY,חדש
AR001225810,W T-SHIRT TEAM,AR001225810,W T-SHIRT TEAM,פעיל,R,revital_m,יח',00616,ביגוד אימונים ארנה,Y,3100310055,ARENA ITALIA SPA,74,ארנה,169,שח,8.5,EUR,199.42,143.22,169,001225810,40029,ארנה,12,ביגוד,32,נשים,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,810,ROY-WHITE-ROY,חדש
AR001227510,W LORELLA TEAM,AR001227510,W LORELLA TEAM,פעיל,R,revital_m,יח',00601,בגדי ים נשים ארנה,Y,3100310055,ARENA ITALIA SPA,74,ארנה,159,שח,7.83,EUR,187.62,134.75,159,001227510,40029,ארנה,12,ביגוד,32,נשים,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,510,BLACK-WHITE-BLACK,חדש
AR001227710,W LORELLA TEAM,AR001227710,W LORELLA TEAM,פעיל,R,revital_m,יח',00601,בגדי ים נשים ארנה,Y,3100310055,ARENA ITALIA SPA,74,ארנה,159,שח,7.83,EUR,187.62,134.75,159,001227710,40029,ארנה,12,ביגוד,32,נשים,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,710,NAVY-WHITE-NAVY,חדש
AR001228510,W CAROLINE TEAM,AR001228510,W CAROLINE TEAM,פעיל,R,revital_m,יח',00600,690- ארנה שונות+דוגמאות+סטוקים,Y,3100310055,ARENA ITALIA SPA,74,ארנה,199,שח,10.07,EUR,234.82,168.64,199,001228510,40029,ארנה,12,ביגוד,32,נשים,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,510,BLACK-WHITE-BLACK,חדש
AR001228710,W CAROLINE TEAM,AR001228710,W CAROLINE TEAM,פעיל,R,revital_m,יח',00600,690- ארנה שונות+דוגמאות+סטוקים,Y,3100310055,ARENA ITALIA SPA,74,ארנה,199,שח,10.07,EUR,234.82,168.64,199,001228710,40029,ארנה,12,ביגוד,32,נשים,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,710,NAVY-WHITE-NAVY,חדש
AR001430150,THE ONE,AR001430150,THE ONE,פעיל,R,revital_m,יח',0,משפחת מוצר כללית,Y,3100310055,ARENA ITALIA SPA,1,ללא מידות,139.9,שח,4.92,EUR,165.08,118.56,139.9,001430150,40029,ארנה,14,ציוד,30,יוניסקס,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,150,CLEAR-GREY-WHITE,קיים
AR001430545,THE ONE,AR001430545,THE ONE,פעיל,R,revital_m,יח',0,משפחת מוצר כללית,Y,3100310055,ARENA ITALIA SPA,1,ללא מידות,139.9,שח,4.92,EUR,165.08,118.56,139.9,001430545,40029,ארנה,14,ציוד,30,יוניסקס,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,545,SMOKE-GREY-BLACK,קיים
AR001432888,THE ONE JR,AR001432888,THE ONE JR,פעיל,R,revital_m,יח',00609,משקפות שחייה ארנה,Y,3100310055,ARENA ITALIA SPA,74,ארנה,89,שח,4.47,EUR,105.02,75.42,89,001432888,40029,ארנה,14,ציוד,33,נוער/ילדים,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,888,LIGHT BLUE-BLUE-LIGHT BLUE,קיים
AR001432959,THE ONE JR,AR001432959,THE ONE JR,פעיל,R,revital_m,יח',00609,משקפות שחייה ארנה,Y,3100310055,ARENA ITALIA SPA,74,ארנה,89,שח,4.47,EUR,105.02,75.42,89,001432959,40029,ארנה,14,ציוד,33,נוער/ילדים,SS27,קיץ 27,SS,קיץ,SWIM,UNIT,UNIT,959,VIOLET-PINK-VIOLET,קיים
