"מק""ט","מק""ט חלופי",ברקוד,תיאור פריט,תיאור לועזי,צבע,תיאור צבע,מידה,מחלקה,קבוצה,תת קבוצה,ספק,מותג,עונה,מחיר קנייה EUR,"מחיר מכירה כולל מע""מ",מחיר סיטונאי,יחידת מידה,מוצר אב
3468336967775,AR001198106,3468336967775,W ARENA ONE BIGLOGO ONE PIECE,W ARENA ONE BIGLOGO ONE PIECE,106,WHITE-GOLD_R,44,00601,בגדי ים נשים ארנה,One piece,ARENA ITALIA SPA,ארנה,SS27,10.74,209,104,יח',AR001198106
3468336967614,AR001198555,3468336967614,W ARENA ONE BIGLOGO ONE PIECE,W ARENA ONE BIGLOGO ONE PIECE,555,BLACK-SILVER_R,30,00601,בגדי ים נשים ארנה,One piece,ARENA ITALIA SPA,ארנה,SS27,10.74,209,104,יח',AR001198555
3468336967997,AR001198555,3468336967997,W ARENA ONE BIGLOGO ONE PIECE,W ARENA ONE BIGLOGO ONE PIECE,555,BLACK-SILVER_R,32,00601,בגדי ים נשים ארנה,One piece,ARENA ITALIA SPA,ארנה,SS27,10.74,209,104,יח',AR001198555
3468336968376,AR001198555,3468336968376,W ARENA ONE BIGLOGO ONE PIECE,W ARENA ONE BIGLOGO ONE PIECE,555,BLACK-SILVER_R,34,00601,בגדי ים נשים ארנה,One piece,ARENA ITALIA SPA,ארנה,SS27,10.74,209,104,יח',AR001198555
3468336968741,AR001198555,3468336968741,W ARENA ONE BIGLOGO ONE PIECE,W ARENA ONE BIGLOGO ONE PIECE,555,BLACK-SILVER_R,36,00601,בגדי ים נשים ארנה,One piece,ARENA ITALIA SPA,ארנה,SS27,10.74,209,104,יח',AR001198555
3468336966280,AR001198555,3468336966280,W ARENA ONE BIGLOGO ONE PIECE,W ARENA ONE BIGLOGO ONE PIECE,555,BLACK-SILVER_R,38,00601,בגדי ים נשים ארנה,One piece,ARENA ITALIA SPA,ארנה,SS27,10.74,209,104,יח',AR001198555
3468336966242,AR001198555,3468336966242,W ARENA ONE BIGLOGO ONE PIECE,W ARENA ONE BIGLOGO ONE PIECE,555,BLACK-SILVER_R,40,00601,בגדי ים נשים ארנה,One piece,ARENA ITALIA SPA,ארנה,SS27,10.74,209,104,יח',AR001198555
3468336966662,AR001198555,3468336966662,W ARENA ONE BIGLOGO ONE PIECE,W ARENA ONE BIGLOGO ONE PIECE,555,BLACK-SILVER_R,42,00601,בגדי ים נשים ארנה,One piece,ARENA ITALIA SPA,ארנה,SS27,10.74,209,104,יח',AR001198555
3468336967058,AR001198555,3468336967058,W ARENA ONE BIGLOGO ONE PIECE,W ARENA ONE BIGLOGO ONE PIECE,555,BLACK-SILVER_R,44,00601,בגדי ים נשים ארנה,One piece,ARENA ITALIA SPA,ארנה,SS27,10.74,209,104,יח',AR001198555
3468337966999,AR001198560,3468337966999,W ARENA ONE BIGLOGO ONE PIECE,W ARENA ONE BIGLOGO ONE PIECE,560,BLACK-BLUE COSMO,30,00601,בגדי ים נשים ארנה,One piece,ARENA ITALIA SPA,ארנה,SS27,10.74,209,104,יח',AR001198560
3468337967002,AR001198560,3468337967002,W ARENA ONE BIGLOGO ONE PIECE,W ARENA ONE BIGLOGO ONE PIECE,560,BLACK-BLUE COSMO,32,00601,בגדי ים נשים ארנה,One piece,ARENA ITALIA SPA,ארנה,SS27,10.74,209,104,יח',AR001198560
3468337967019,AR001198560,3468337967019,W ARENA ONE BIGLOGO ONE PIECE,W ARENA ONE BIGLOGO ONE PIECE,560,BLACK-BLUE COSMO,34,00601,בגדי ים נשים ארנה,One piece,ARENA ITALIA SPA,ארנה,SS27,10.74,209,104,יח',AR001198560
3468337967026,AR001198560,3468337967026,W ARENA ONE BIGLOGO ONE PIECE,W ARENA ONE BIGLOGO ONE PIECE,560,BLACK-BLUE COSMO,36,00601,בגדי ים נשים ארנה,One piece,ARENA ITALIA SPA,ארנה,SS27,10.74,209,104,יח',AR001198560
3468337967033,AR001198560,3468337967033,W ARENA ONE BIGLOGO ONE PIECE,W ARENA ONE BIGLOGO ONE PIECE,560,BLACK-BLUE COSMO,38,00601,בגדי ים נשים ארנה,One piece,ARENA ITALIA SPA,ארנה,SS27,10.74,209,104,יח',AR001198560
3468337967040,AR001198560,3468337967040,W ARENA ONE BIGLOGO ONE PIECE,W ARENA ONE BIGLOGO ONE PIECE,560,BLACK-BLUE COSMO,40,00601,בגדי ים נשים ארנה,One piece,ARENA ITALIA SPA,ארנה,SS27,10.74,209,104,יח',AR001198560
3468337967057,AR001198560,3468337967057,W ARENA ONE BIGLOGO ONE PIECE,W ARENA ONE BIGLOGO ONE PIECE,560,BLACK-BLUE COSMO,42,00601,בגדי ים נשים ארנה,One piece,ARENA ITALIA SPA,ארנה,SS27,10.74,209,104,יח',AR001198560
3468337967064,AR001198560,3468337967064,W ARENA ONE BIGLOGO ONE PIECE,W ARENA ONE BIGLOGO ONE PIECE,560,BLACK-BLUE COSMO,44,00601,בגדי ים נשים ארנה,One piece,ARENA ITALIA SPA,ארנה,SS27,10.74,209,104,יח',AR001198560
3468337870852,AR001198609,3468337870852,W ARENA ONE BIGLOGO ONE PIECE,W ARENA ONE BIGLOGO ONE PIECE,609,BLUE COSMO-PURPLE,30,00601,בגדי ים נשים ארנה,One piece,ARENA ITALIA SPA,ארנה,SS27,10.74,209,104,יח',AR001198609
3468337870869,AR001198609,3468337870869,W ARENA ONE BIGLOGO ONE PIECE,W ARENA ONE BIGLOGO ONE PIECE,609,BLUE COSMO-PURPLE,32,00601,בגדי ים נשים ארנה,One piece,ARENA ITALIA SPA,ארנה,SS27,10.74,209,104,יח',AR001198609
3468337870876,AR001198609,3468337870876,W ARENA ONE BIGLOGO ONE PIECE,W ARENA ONE BIGLOGO ONE PIECE,609,BLUE COSMO-PURPLE,34,00601,בגדי ים נשים ארנה,One piece,ARENA ITALIA SPA,ארנה,SS27,10.74,209,104,יח',AR001198609
3468337870883,AR001198609,3468337870883,W ARENA ONE BIGLOGO ONE PIECE,W ARENA ONE BIGLOGO ONE PIECE,609,BLUE COSMO-PURPLE,36,00601,בגדי ים נשים ארנה,One piece,ARENA ITALIA SPA,ארנה,SS27,10.74,209,104,יח',AR001198609
3468337870890,AR001198609,3468337870890,W ARENA ONE BIGLOGO ONE PIECE,W ARENA ONE BIGLOGO ONE PIECE,609,BLUE COSMO-PURPLE,38,00601,בגדי ים נשים ארנה,One piece,ARENA ITALIA SPA,ארנה,SS27,10.74,209,104,יח',AR001198609
3468337870906,AR001198609,3468337870906,W ARENA ONE BIGLOGO ONE PIECE,W ARENA ONE BIGLOGO ONE PIECE,609,BLUE COSMO-PURPLE,40,00601,בגדי ים נשים ארנה,One piece,ARENA ITALIA SPA,ארנה,SS27,10.74,209,104,יח',AR001198609
3468337870913,AR001198609,3468337870913,W ARENA ONE BIGLOGO ONE PIECE,W ARENA ONE BIGLOGO ONE PIECE,609,BLUE COSMO-PURPLE,42,00601,בגדי ים נשים ארנה,One piece,ARENA ITALIA SPA,ארנה,SS27,10.74,209,104,יח',AR001198609
3468337870920,AR001198609,3468337870920,W ARENA ONE BIGLOGO ONE PIECE,W ARENA ONE BIGLOGO ONE PIECE,609,BLUE COSMO-PURPLE,44,00601,בגדי ים נשים ארנה,One piece,ARENA ITALIA SPA,ארנה,SS27,10.74,209,104,יח',AR001198609
3468337967071,AR001198730,3468337967071,W ARENA ONE BIGLOGO ONE PIECE,W ARENA ONE BIGLOGO ONE PIECE,730,NAVY-TEAM ORANGE,30,00601,בגדי ים נשים ארנה,One piece,ARENA ITALIA SPA,ארנה,SS27,10.74,209,104,יח',AR001198730
3468337967088,AR001198730,3468337967088,W ARENA ONE BIGLOGO ONE PIECE,W ARENA ONE BIGLOGO ONE PIECE,730,NAVY-TEAM ORANGE,32,00601,בגדי ים נשים ארנה,One piece,ARENA ITALIA SPA,ארנה,SS27,10.74,209,104,יח',AR001198730
3468337967095,AR001198730,3468337967095,W ARENA ONE BIGLOGO ONE PIECE,W ARENA ONE BIGLOGO ONE PIECE,730,NAVY-TEAM ORANGE,34,00601,בגדי ים נשים ארנה,One piece,ARENA ITALIA SPA,ארנה,SS27,10.74,209,104,יח',AR001198730
3468337967101,AR001198730,3468337967101,W ARENA ONE BIGLOGO ONE PIECE,W ARENA ONE BIGLOGO ONE PIECE,730,NAVY-TEAM ORANGE,36,00601,בגדי ים נשים ארנה,One piece,ARENA ITALIA SPA,ארנה,SS27,10.74,209,104,יח',AR001198730
3468337967118,AR001198730,3468337967118,W ARENA ONE BIGLOGO ONE PIECE,W ARENA ONE BIGLOGO ONE PIECE,730,NAVY-TEAM ORANGE,38,00601,בגדי ים נשים ארנה,One piece,ARENA ITALIA SPA,ארנה,SS27,10.74,209,104,יח',AR001198730
