משפחה,ספק מועדף,מקט ספק פרמטר 4,מקט,תיאור פריט,תיאור פריט,צבע,מותג,דויזן,מגדר,עונה/שנה,עונה,מאפיין,ענף ספורט end use,רויאלטיז,מחלקה במחסן,מגה תת קבוצה,סרגל,,מחיר בסיס/מחיר צרכן קטלוגי,סוג חלוקה,מחיר קנייה EUR,קוד מטבע,תקן עלות ₪,קוד מיון אליטל,מחירון 1/סיטונאי קטלוגי,מחירון 2/סיטונאי נטו,מחירון 3/צרכן רשת,מחירון 4/ סיטונאי MGS
00610,3100310055,001451505,AR001451505,MOULDED PRO II,MOULDED PRO II,505,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,59,,2.91,EUR,,UNIT,30,,59,
00610,3100310055,001451701,AR001451701,MOULDED PRO II,MOULDED PRO II,701,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,59,,2.91,EUR,,UNIT,30,,59,
00610,3100310055,001451721,AR001451721,MOULDED PRO II,MOULDED PRO II,721,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,59,,2.91,EUR,,UNIT,30,,59,
00610,3100310055,001451901,AR001451901,MOULDED PRO II,MOULDED PRO II,901,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,59,,2.91,EUR,,UNIT,30,,59,
00610,3100310055,001912104,AR001912104,LOGO MOULDED CAP,LOGO MOULDED CAP,104,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,59,,3.13,EUR,,UNIT,30,,59,
00610,3100310055,001912200,AR001912200,LOGO MOULDED CAP,LOGO MOULDED CAP,200,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,59,,3.13,EUR,,UNIT,30,,59,
00610,3100310055,001912201,AR001912201,LOGO MOULDED CAP,LOGO MOULDED CAP,201,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,59,,3.13,EUR,,UNIT,30,,59,
00610,3100310055,001912202,AR001912202,LOGO MOULDED CAP,LOGO MOULDED CAP,202,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,59,,3.13,EUR,,UNIT,30,,59,
00610,3100310055,001912205,AR001912205,LOGO MOULDED CAP,LOGO MOULDED CAP,205,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,59,,3.13,EUR,,UNIT,30,,59,
00610,3100310055,001912211,AR001912211,LOGO MOULDED CAP,LOGO MOULDED CAP,211,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,59,,3.13,EUR,,UNIT,30,,59,
00610,3100310055,001912214,AR001912214,LOGO MOULDED CAP,LOGO MOULDED CAP,214,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,59,,3.13,EUR,,UNIT,30,,59,
00600,3100310055,001993410,AR001993410,POOL SOFT TOWEL,POOL SOFT TOWEL,410,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,189,,9.4,EUR,,UNIT,94,,189,
00600,3100310055,001993550,AR001993550,POOL SOFT TOWEL,POOL SOFT TOWEL,550,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,189,,9.4,EUR,,UNIT,94,,189,
00600,3100310055,001993750,AR001993750,POOL SOFT TOWEL,POOL SOFT TOWEL,750,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,189,,9.4,EUR,,UNIT,94,,189,
00600,3100310055,001993810,AR001993810,POOL SOFT TOWEL,POOL SOFT TOWEL,810,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,189,,9.4,EUR,,UNIT,94,,189,
00600,3100310055,002018505,AR002018505,PREMIUM SNORKELING SET,PREMIUM SNORKELING SET,505,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,229,,11.64,EUR,,UNIT,114,,229,
00600,3100310055,002019505,AR002019505,PREMIUM SNORKELING SET JR,PREMIUM SNORKELING SET JR,505,40029,14,33,SS27,SS,,SWIM,,UNIT,,1,,189,,9.619999999999999,EUR,,UNIT,94,,189,
00611,3100310055,002024120,AR002024120,PRINTED KICKBOARD,PRINTED KICKBOARD,120,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,139,,7.16,EUR,,UNIT,70,,139,
00611,3100310055,002047700,AR002047700,POOL GRIP SOCKS JR,POOL GRIP SOCKS JR,700,40029,14,33,SS27,SS,,SWIM,,UNIT,,29,,89,,4.48,EUR,,UNIT,44,,89,
00611,3100310055,002047900,AR002047900,POOL GRIP SOCKS JR,POOL GRIP SOCKS JR,900,40029,14,33,SS27,SS,,SWIM,,UNIT,,29,,89,,4.48,EUR,,UNIT,44,,89,
00611,3100310055,002065500,AR002065500,POOL GRIP SOCKS,POOL GRIP SOCKS,500,40029,14,30,SS27,SS,,SWIM,,UNIT,,29,,89,,4.48,EUR,,UNIT,44,,89,
00610,3100310055,002382101,AR002382101,LIGHT SENSATION II,LIGHT SENSATION II,101,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,79,,4.03,EUR,,UNIT,40,,79,
00610,3100310055,002383100,AR002383100,UNIX II,UNIX II,100,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,49,,2.24,EUR,,UNIT,24,,49,
00610,3100310055,002383101,AR002383101,UNIX II,UNIX II,101,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,49,,2.24,EUR,,UNIT,24,,49,
00610,3100310055,002383102,AR002383102,UNIX II,UNIX II,102,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,49,,2.24,EUR,,UNIT,24,,49,
00610,3100310055,002383103,AR002383103,UNIX II,UNIX II,103,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,49,,2.24,EUR,,UNIT,24,,49,
00610,3100310055,002383104,AR002383104,UNIX II,UNIX II,104,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,49,,2.24,EUR,,UNIT,24,,49,
00610,3100310055,002383105,AR002383105,UNIX II,UNIX II,105,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,49,,2.24,EUR,,UNIT,24,,49,
00610,3100310055,002383106,AR002383106,UNIX II,UNIX II,106,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,49,,2.24,EUR,,UNIT,24,,49,
00610,3100310055,002384101,AR002384101,UNIX II JR,UNIX II JR,101,40029,14,33,SS27,SS,,SWIM,,UNIT,,1,,39,,2.01,EUR,,UNIT,20,,39,
00610,3100310055,002384102,AR002384102,UNIX II JR,UNIX II JR,102,40029,14,33,SS27,SS,,SWIM,,UNIT,,1,,39,,2.01,EUR,,UNIT,20,,39,
00610,3100310055,002384103,AR002384103,UNIX II JR,UNIX II JR,103,40029,14,33,SS27,SS,,SWIM,,UNIT,,1,,39,,2.01,EUR,,UNIT,20,,39,
00610,3100310055,002384104,AR002384104,UNIX II JR,UNIX II JR,104,40029,14,33,SS27,SS,,SWIM,,UNIT,,1,,39,,2.01,EUR,,UNIT,20,,39,
00610,3100310055,002384105,AR002384105,UNIX II JR,UNIX II JR,105,40029,14,33,SS27,SS,,SWIM,,UNIT,,1,,39,,2.01,EUR,,UNIT,20,,39,
00610,3100310055,002384107,AR002384107,UNIX II JR,UNIX II JR,107,40029,14,33,SS27,SS,,SWIM,,UNIT,,1,,39,,2.01,EUR,,UNIT,20,,39,
00610,3100310055,002384108,AR002384108,UNIX II JR,UNIX II JR,108,40029,14,33,SS27,SS,,SWIM,,UNIT,,1,,39,,2.01,EUR,,UNIT,20,,39,
00610,3100310055,002384109,AR002384109,UNIX II JR,UNIX II JR,109,40029,14,33,SS27,SS,,SWIM,,UNIT,,1,,39,,2.01,EUR,,UNIT,20,,39,
00610,3100310055,002384110,AR002384110,UNIX II JR,UNIX II JR,110,40029,14,33,SS27,SS,,SWIM,,UNIT,,1,,39,,2.01,EUR,,UNIT,20,,39,
00610,3100310055,002384200,AR002384200,UNIX II JR,UNIX II JR,200,40029,14,33,SS27,SS,,SWIM,,UNIT,,1,,39,,2.01,EUR,,UNIT,20,,39,
00611,3100310055,002441500,AR002441500,CLUB KIT KICKBOARD,CLUB KIT KICKBOARD,500,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,109,,5.6,EUR,,UNIT,54,,109,
00611,3100310055,002441701,AR002441701,CLUB KIT KICKBOARD,CLUB KIT KICKBOARD,701,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,109,,5.6,EUR,,UNIT,54,,109,
00611,3100310055,002442100,AR002442100,CLUB KIT KICKBOARD JR,CLUB KIT KICKBOARD JR,100,40029,14,33,SS27,SS,,SWIM,,UNIT,,1,,99,,4.92,EUR,,UNIT,50,,99,
00611,3100310055,002442200,AR002442200,CLUB KIT KICKBOARD JR,CLUB KIT KICKBOARD JR,200,40029,14,33,SS27,SS,,SWIM,,UNIT,,1,,99,,4.92,EUR,,UNIT,50,,99,
00610,3100310055,002467720,AR002467720,POLYESTER II,POLYESTER II,720,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,29,,1.34,EUR,,UNIT,14,,29,
00610,3100310055,002468100,AR002468100,POLYESTER II JR,POLYESTER II JR,100,40029,14,33,SS27,SS,,SWIM,,UNIT,,1,,19,,1.12,EUR,,UNIT,10,,19,
00610,3100310055,002468510,AR002468510,POLYESTER II JR,POLYESTER II JR,510,40029,14,33,SS27,SS,,SWIM,,UNIT,,1,,19,,1.12,EUR,,UNIT,10,,19,
00610,3100310055,002468730,AR002468730,POLYESTER II JR,POLYESTER II JR,730,40029,14,33,SS27,SS,,SWIM,,UNIT,,1,,19,,1.12,EUR,,UNIT,10,,19,
00610,3100310055,002468740,AR002468740,POLYESTER II JR,POLYESTER II JR,740,40029,14,33,SS27,SS,,SWIM,,UNIT,,1,,19,,1.12,EUR,,UNIT,10,,19,
00610,3100310055,002468910,AR002468910,POLYESTER II JR,POLYESTER II JR,910,40029,14,33,SS27,SS,,SWIM,,UNIT,,1,,19,,1.12,EUR,,UNIT,10,,19,
00610,3100310055,002468990,AR002468990,POLYESTER II JR,POLYESTER II JR,990,40029,14,33,SS27,SS,,SWIM,,UNIT,,1,,19,,1.12,EUR,,UNIT,10,,19,
00610,3100310055,002491101,AR002491101,POLYESTER II KIDS,POLYESTER II KIDS,101,40029,14,33,SS27,SS,,SWIM,,UNIT,,1,,19,,1.12,EUR,,UNIT,10,,19,
00610,3100310055,002491102,AR002491102,POLYESTER II KIDS,POLYESTER II KIDS,102,40029,14,33,SS27,SS,,SWIM,,UNIT,,1,,19,,1.12,EUR,,UNIT,10,,19,
00609,3100310055,002507104,AR002507104,COBRA ULTRA SWIPE MR,COBRA ULTRA SWIPE MR,104,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,339,,16.79,EUR,,UNIT,170,,339,
00609,3100310055,002507105,AR002507105,COBRA ULTRA SWIPE MR,COBRA ULTRA SWIPE MR,105,40029,14,30,SS27,SS,,SWIM,,UNIT,,1,,339,,16.79,EUR,,UNIT,170,,339,
