SKU,Article,EAN,Style,Style Description,Colorway,Colorway Description,Segment,Product Type,Consumer Target,Sizes Overview,Size,Made-In,Taric,Collection Type,Carry Over,SWP EUR,RSP EUR
006151_130_36-37,006151130,3468336879511,006151,POWERFIN PRO II,130,LIME,Equipment,Training gear,Uni Adult,"36-37, 38-39, 40-41, 42-43, 44-45, 46-47",36-37,China,9506290000,Global,Y,38.09524,80
006151_130_38-39,006151130,3468336881415,006151,POWERFIN PRO II,130,LIME,Equipment,Training gear,Uni Adult,"36-37, 38-39, 40-41, 42-43, 44-45, 46-47",38-39,China,9506290000,Global,Y,38.09524,80
006151_130_40-41,006151130,3468336882795,006151,POWERFIN PRO II,130,LIME,Equipment,Training gear,Uni Adult,"36-37, 38-39, 40-41, 42-43, 44-45, 46-47",40-41,China,9506290000,Global,Y,38.09524,80
006151_130_42-43,006151130,3468336884874,006151,POWERFIN PRO II,130,LIME,Equipment,Training gear,Uni Adult,"36-37, 38-39, 40-41, 42-43, 44-45, 46-47",42-43,China,9506290000,Global,Y,38.09524,80
006151_130_44-45,006151130,3468336886625,006151,POWERFIN PRO II,130,LIME,Equipment,Training gear,Uni Adult,"36-37, 38-39, 40-41, 42-43, 44-45, 46-47",44-45,China,9506290000,Global,Y,38.09524,80
006151_130_46-47,006151130,3468336878590,006151,POWERFIN PRO II,130,LIME,Equipment,Training gear,Uni Adult,"36-37, 38-39, 40-41, 42-43, 44-45, 46-47",46-47,China,9506290000,Global,Y,38.09524,80
006151_200_36-37,006151200,3468336885949,006151,POWERFIN PRO II,200,GOLD,Equipment,Training gear,Uni Adult,"36-37, 38-39, 40-41, 42-43, 44-45, 46-47",36-37,China,9506290000,Global,Y,38.09524,80
006151_200_38-39,006151200,3468336887899,006151,POWERFIN PRO II,200,GOLD,Equipment,Training gear,Uni Adult,"36-37, 38-39, 40-41, 42-43, 44-45, 46-47",38-39,China,9506290000,Global,Y,38.09524,80
006151_200_40-41,006151200,3468336879429,006151,POWERFIN PRO II,200,GOLD,Equipment,Training gear,Uni Adult,"36-37, 38-39, 40-41, 42-43, 44-45, 46-47",40-41,China,9506290000,Global,Y,38.09524,80
006151_200_42-43,006151200,3468336881323,006151,POWERFIN PRO II,200,GOLD,Equipment,Training gear,Uni Adult,"36-37, 38-39, 40-41, 42-43, 44-45, 46-47",42-43,China,9506290000,Global,Y,38.09524,80
006151_200_44-45,006151200,3468336883044,006151,POWERFIN PRO II,200,GOLD,Equipment,Training gear,Uni Adult,"36-37, 38-39, 40-41, 42-43, 44-45, 46-47",44-45,China,9506290000,Global,Y,38.09524,80
006151_200_46-47,006151200,3468336885222,006151,POWERFIN PRO II,200,GOLD,Equipment,Training gear,Uni Adult,"36-37, 38-39, 40-41, 42-43, 44-45, 46-47",46-47,China,9506290000,Global,Y,38.09524,80
006151_210_36-37,006151210,3468337487081,006151,POWERFIN PRO II,210,SAGE-ARTIC_LIME,Equipment,Training gear,Uni Adult,"36-37, 38-39, 40-41, 42-43, 44-45, 46-47",36-37,China,9506290000,Global,Y,38.09524,80
006151_210_38-39,006151210,3468337487098,006151,POWERFIN PRO II,210,SAGE-ARTIC_LIME,Equipment,Training gear,Uni Adult,"36-37, 38-39, 40-41, 42-43, 44-45, 46-47",38-39,China,9506290000,Global,Y,38.09524,80
006151_210_40-41,006151210,3468337487104,006151,POWERFIN PRO II,210,SAGE-ARTIC_LIME,Equipment,Training gear,Uni Adult,"36-37, 38-39, 40-41, 42-43, 44-45, 46-47",40-41,China,9506290000,Global,Y,38.09524,80
006151_210_42-43,006151210,3468337487111,006151,POWERFIN PRO II,210,SAGE-ARTIC_LIME,Equipment,Training gear,Uni Adult,"36-37, 38-39, 40-41, 42-43, 44-45, 46-47",42-43,China,9506290000,Global,Y,38.09524,80
006151_210_44-45,006151210,3468337487128,006151,POWERFIN PRO II,210,SAGE-ARTIC_LIME,Equipment,Training gear,Uni Adult,"36-37, 38-39, 40-41, 42-43, 44-45, 46-47",44-45,China,9506290000,Global,Y,38.09524,80
006151_210_46-47,006151210,3468337487135,006151,POWERFIN PRO II,210,SAGE-ARTIC_LIME,Equipment,Training gear,Uni Adult,"36-37, 38-39, 40-41, 42-43, 44-45, 46-47",46-47,China,9506290000,Global,Y,38.09524,80
006151_220_36-37,006151220,3468337487142,006151,POWERFIN PRO II,220,PLUM-ARTIC_LIME,Equipment,Training gear,Uni Adult,"36-37, 38-39, 40-41, 42-43, 44-45, 46-47",36-37,China,9506290000,Global,Y,38.09524,80
006151_220_38-39,006151220,3468337487159,006151,POWERFIN PRO II,220,PLUM-ARTIC_LIME,Equipment,Training gear,Uni Adult,"36-37, 38-39, 40-41, 42-43, 44-45, 46-47",38-39,China,9506290000,Global,Y,38.09524,80
006151_220_40-41,006151220,3468337487166,006151,POWERFIN PRO II,220,PLUM-ARTIC_LIME,Equipment,Training gear,Uni Adult,"36-37, 38-39, 40-41, 42-43, 44-45, 46-47",40-41,China,9506290000,Global,Y,38.09524,80
006151_220_42-43,006151220,3468337487173,006151,POWERFIN PRO II,220,PLUM-ARTIC_LIME,Equipment,Training gear,Uni Adult,"36-37, 38-39, 40-41, 42-43, 44-45, 46-47",42-43,China,9506290000,Global,Y,38.09524,80
006151_220_44-45,006151220,3468337487180,006151,POWERFIN PRO II,220,PLUM-ARTIC_LIME,Equipment,Training gear,Uni Adult,"36-37, 38-39, 40-41, 42-43, 44-45, 46-47",44-45,China,9506290000,Global,Y,38.09524,80
006151_220_46-47,006151220,3468337487197,006151,POWERFIN PRO II,220,PLUM-ARTIC_LIME,Equipment,Training gear,Uni Adult,"36-37, 38-39, 40-41, 42-43, 44-45, 46-47",46-47,China,9506290000,Global,Y,38.09524,80
006159_500_100,006159500,3468336884003,006159,MEN'S ARENA ZIP SWIM SHORT,500,BLACK,Swimwear,Shorts,Man,"75, 80, 85, 90, 95, 100, 105, 110, 115, 120",100,Vietnam,6112319000,Global,Y,14.7619,31
006159_500_105,006159500,3468336883013,006159,MEN'S ARENA ZIP SWIM SHORT,500,BLACK,Swimwear,Shorts,Man,"75, 80, 85, 90, 95, 100, 105, 110, 115, 120",105,Vietnam,6112319000,Global,Y,14.7619,31
006159_500_110,006159500,3468336886465,006159,MEN'S ARENA ZIP SWIM SHORT,500,BLACK,Swimwear,Shorts,Man,"75, 80, 85, 90, 95, 100, 105, 110, 115, 120",110,Vietnam,6112319000,Global,Y,14.7619,31
006159_500_115,006159500,3468337108818,006159,MEN'S ARENA ZIP SWIM SHORT,500,BLACK,Swimwear,Shorts,Man,"75, 80, 85, 90, 95, 100, 105, 110, 115, 120",115,Vietnam,6112319000,Global,Y,14.7619,31
006159_500_120,006159500,3468337109051,006159,MEN'S ARENA ZIP SWIM SHORT,500,BLACK,Swimwear,Shorts,Man,"75, 80, 85, 90, 95, 100, 105, 110, 115, 120",120,Vietnam,6112319000,Global,Y,14.7619,31
006159_500_75,006159500,3468336922958,006159,MEN'S ARENA ZIP SWIM SHORT,500,BLACK,Swimwear,Shorts,Man,"75, 80, 85, 90, 95, 100, 105, 110, 115, 120",75,Vietnam,6112319000,Global,Y,14.7619,31
006159_500_80,006159500,3468336878545,006159,MEN'S ARENA ZIP SWIM SHORT,500,BLACK,Swimwear,Shorts,Man,"75, 80, 85, 90, 95, 100, 105, 110, 115, 120",80,Vietnam,6112319000,Global,Y,14.7619,31
006159_500_85,006159500,3468336887592,006159,MEN'S ARENA ZIP SWIM SHORT,500,BLACK,Swimwear,Shorts,Man,"75, 80, 85, 90, 95, 100, 105, 110, 115, 120",85,Vietnam,6112319000,Global,Y,14.7619,31
006159_500_90,006159500,3468336881026,006159,MEN'S ARENA ZIP SWIM SHORT,500,BLACK,Swimwear,Shorts,Man,"75, 80, 85, 90, 95, 100, 105, 110, 115, 120",90,Vietnam,6112319000,Global,Y,14.7619,31
006159_500_95,006159500,3468336880128,006159,MEN'S ARENA ZIP SWIM SHORT,500,BLACK,Swimwear,Shorts,Man,"75, 80, 85, 90, 95, 100, 105, 110, 115, 120",95,Vietnam,6112319000,Global,Y,14.7619,31
006159_580_100,006159580,3468339222659,006159,MEN'S ARENA ZIP SWIM SHORT,580,BLACK-TURQUOISE,Swimwear,Shorts,Man,"75, 80, 85, 90, 95, 100, 105, 110, 115, 120",100,Vietnam,6112319000,Global,Y,14.7619,31
006159_580_105,006159580,3468339222666,006159,MEN'S ARENA ZIP SWIM SHORT,580,BLACK-TURQUOISE,Swimwear,Shorts,Man,"75, 80, 85, 90, 95, 100, 105, 110, 115, 120",105,Vietnam,6112319000,Global,Y,14.7619,31
006159_580_110,006159580,3468339222673,006159,MEN'S ARENA ZIP SWIM SHORT,580,BLACK-TURQUOISE,Swimwear,Shorts,Man,"75, 80, 85, 90, 95, 100, 105, 110, 115, 120",110,Vietnam,6112319000,Global,Y,14.7619,31
006159_580_115,006159580,3468339222680,006159,MEN'S ARENA ZIP SWIM SHORT,580,BLACK-TURQUOISE,Swimwear,Shorts,Man,"75, 80, 85, 90, 95, 100, 105, 110, 115, 120",115,Vietnam,6112319000,Global,Y,14.7619,31
006159_580_120,006159580,3468339222697,006159,MEN'S ARENA ZIP SWIM SHORT,580,BLACK-TURQUOISE,Swimwear,Shorts,Man,"75, 80, 85, 90, 95, 100, 105, 110, 115, 120",120,Vietnam,6112319000,Global,Y,14.7619,31
006159_580_75,006159580,3468339222703,006159,MEN'S ARENA ZIP SWIM SHORT,580,BLACK-TURQUOISE,Swimwear,Shorts,Man,"75, 80, 85, 90, 95, 100, 105, 110, 115, 120",75,Vietnam,6112319000,Global,Y,14.7619,31
006159_580_80,006159580,3468339222710,006159,MEN'S ARENA ZIP SWIM SHORT,580,BLACK-TURQUOISE,Swimwear,Shorts,Man,"75, 80, 85, 90, 95, 100, 105, 110, 115, 120",80,Vietnam,6112319000,Global,Y,14.7619,31
006159_580_85,006159580,3468339222727,006159,MEN'S ARENA ZIP SWIM SHORT,580,BLACK-TURQUOISE,Swimwear,Shorts,Man,"75, 80, 85, 90, 95, 100, 105, 110, 115, 120",85,Vietnam,6112319000,Global,Y,14.7619,31
006159_580_90,006159580,3468339222734,006159,MEN'S ARENA ZIP SWIM SHORT,580,BLACK-TURQUOISE,Swimwear,Shorts,Man,"75, 80, 85, 90, 95, 100, 105, 110, 115, 120",90,Vietnam,6112319000,Global,Y,14.7619,31
006159_580_95,006159580,3468339222741,006159,MEN'S ARENA ZIP SWIM SHORT,580,BLACK-TURQUOISE,Swimwear,Shorts,Man,"75, 80, 85, 90, 95, 100, 105, 110, 115, 120",95,Vietnam,6112319000,Global,Y,14.7619,31
006441_170_L,006441170,3468337143574,006441,FUNDAMENTALS X-SHORT R,170,WHITE-NAVY,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",L,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_170_M,006441170,3468337142393,006441,FUNDAMENTALS X-SHORT R,170,WHITE-NAVY,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",M,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_170_S,006441170,3468337140719,006441,FUNDAMENTALS X-SHORT R,170,WHITE-NAVY,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",S,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_170_XL,006441170,3468337145707,006441,FUNDAMENTALS X-SHORT R,170,WHITE-NAVY,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",XL,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_170_XXL,006441170,3468337143970,006441,FUNDAMENTALS X-SHORT R,170,WHITE-NAVY,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",XXL,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_330_L,006441330,3468337970460,006441,FUNDAMENTALS X-SHORT R,330,CARROT-ORANGE,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",L,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_330_M,006441330,3468337970477,006441,FUNDAMENTALS X-SHORT R,330,CARROT-ORANGE,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",M,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_330_S,006441330,3468337970484,006441,FUNDAMENTALS X-SHORT R,330,CARROT-ORANGE,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",S,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_330_XL,006441330,3468337970491,006441,FUNDAMENTALS X-SHORT R,330,CARROT-ORANGE,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",XL,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_330_XXL,006441330,3468337970507,006441,FUNDAMENTALS X-SHORT R,330,CARROT-ORANGE,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",XXL,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_482_L,006441482,3468337776444,006441,FUNDAMENTALS X-SHORT R,482,RED-TURQUOISE,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",L,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_482_M,006441482,3468337776451,006441,FUNDAMENTALS X-SHORT R,482,RED-TURQUOISE,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",M,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_482_S,006441482,3468337776468,006441,FUNDAMENTALS X-SHORT R,482,RED-TURQUOISE,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",S,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_482_XL,006441482,3468337776475,006441,FUNDAMENTALS X-SHORT R,482,RED-TURQUOISE,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",XL,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_482_XXL,006441482,3468337776482,006441,FUNDAMENTALS X-SHORT R,482,RED-TURQUOISE,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",XXL,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_483_L,006441483,3468337970514,006441,FUNDAMENTALS X-SHORT R,483,INDIAN RED-WATER,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",L,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_483_M,006441483,3468337970521,006441,FUNDAMENTALS X-SHORT R,483,INDIAN RED-WATER,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",M,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_483_S,006441483,3468337970538,006441,FUNDAMENTALS X-SHORT R,483,INDIAN RED-WATER,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",S,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_483_XL,006441483,3468337970545,006441,FUNDAMENTALS X-SHORT R,483,INDIAN RED-WATER,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",XL,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_483_XXL,006441483,3468337970552,006441,FUNDAMENTALS X-SHORT R,483,INDIAN RED-WATER,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",XXL,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_501_L,006441501,3468337143338,006441,FUNDAMENTALS X-SHORT R,501,BLACK-WHITE,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",L,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_501_M,006441501,3468337142157,006441,FUNDAMENTALS X-SHORT R,501,BLACK-WHITE,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",M,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_501_S,006441501,3468337145936,006441,FUNDAMENTALS X-SHORT R,501,BLACK-WHITE,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",S,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_501_XL,006441501,3468337145431,006441,FUNDAMENTALS X-SHORT R,501,BLACK-WHITE,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",XL,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_501_XXL,006441501,3468337143673,006441,FUNDAMENTALS X-SHORT R,501,BLACK-WHITE,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",XXL,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_581_L,006441581,3468337776499,006441,FUNDAMENTALS X-SHORT R,581,ASPHALT-NEON BLUE,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",L,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_581_M,006441581,3468337776505,006441,FUNDAMENTALS X-SHORT R,581,ASPHALT-NEON BLUE,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",M,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_581_S,006441581,3468337776512,006441,FUNDAMENTALS X-SHORT R,581,ASPHALT-NEON BLUE,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",S,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_581_XL,006441581,3468337776529,006441,FUNDAMENTALS X-SHORT R,581,ASPHALT-NEON BLUE,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",XL,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_581_XXL,006441581,3468337776536,006441,FUNDAMENTALS X-SHORT R,581,ASPHALT-NEON BLUE,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",XXL,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_610_L,006441610,3468337776543,006441,FUNDAMENTALS X-SHORT R,610,TEAM GREEN-WHITE,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",L,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_610_M,006441610,3468337776550,006441,FUNDAMENTALS X-SHORT R,610,TEAM GREEN-WHITE,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",M,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_610_S,006441610,3468337776567,006441,FUNDAMENTALS X-SHORT R,610,TEAM GREEN-WHITE,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",S,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_610_XL,006441610,3468337776574,006441,FUNDAMENTALS X-SHORT R,610,TEAM GREEN-WHITE,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",XL,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_610_XXL,006441610,3468337776581,006441,FUNDAMENTALS X-SHORT R,610,TEAM GREEN-WHITE,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",XXL,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_611_L,006441611,3468337970569,006441,FUNDAMENTALS X-SHORT R,611,SOFT GREEN-BLACK,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",L,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_611_M,006441611,3468337970576,006441,FUNDAMENTALS X-SHORT R,611,SOFT GREEN-BLACK,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",M,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_611_S,006441611,3468337970583,006441,FUNDAMENTALS X-SHORT R,611,SOFT GREEN-BLACK,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",S,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_611_XL,006441611,3468337970590,006441,FUNDAMENTALS X-SHORT R,611,SOFT GREEN-BLACK,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",XL,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_611_XXL,006441611,3468337970606,006441,FUNDAMENTALS X-SHORT R,611,SOFT GREEN-BLACK,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",XXL,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_641_L,006441641,3468337776598,006441,FUNDAMENTALS X-SHORT R,641,SAGE-RED,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",L,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_641_M,006441641,3468337776604,006441,FUNDAMENTALS X-SHORT R,641,SAGE-RED,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",M,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_641_S,006441641,3468337776611,006441,FUNDAMENTALS X-SHORT R,641,SAGE-RED,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",S,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_641_XL,006441641,3468337776628,006441,FUNDAMENTALS X-SHORT R,641,SAGE-RED,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",XL,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_641_XXL,006441641,3468337776635,006441,FUNDAMENTALS X-SHORT R,641,SAGE-RED,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",XXL,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_651_L,006441651,3468337970613,006441,FUNDAMENTALS X-SHORT R,651,LIMEADE-BLACK,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",L,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_651_M,006441651,3468337970620,006441,FUNDAMENTALS X-SHORT R,651,LIMEADE-BLACK,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",M,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_651_S,006441651,3468337970637,006441,FUNDAMENTALS X-SHORT R,651,LIMEADE-BLACK,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",S,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_651_XL,006441651,3468337970644,006441,FUNDAMENTALS X-SHORT R,651,LIMEADE-BLACK,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",XL,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_651_XXL,006441651,3468337970651,006441,FUNDAMENTALS X-SHORT R,651,LIMEADE-BLACK,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",XXL,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_680_L,006441680,3468337970668,006441,FUNDAMENTALS X-SHORT R,680,VERBENA-BLUE COSMO,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",L,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_680_M,006441680,3468337970675,006441,FUNDAMENTALS X-SHORT R,680,VERBENA-BLUE COSMO,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",M,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_680_S,006441680,3468337970682,006441,FUNDAMENTALS X-SHORT R,680,VERBENA-BLUE COSMO,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",S,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_680_XL,006441680,3468337970699,006441,FUNDAMENTALS X-SHORT R,680,VERBENA-BLUE COSMO,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",XL,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_680_XXL,006441680,3468337970705,006441,FUNDAMENTALS X-SHORT R,680,VERBENA-BLUE COSMO,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",XXL,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_781_L,006441781,3468337144120,006441,FUNDAMENTALS X-SHORT R,781,NAVY-TURQUOISE,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",L,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_781_M,006441781,3468337142867,006441,FUNDAMENTALS X-SHORT R,781,NAVY-TURQUOISE,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",M,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_781_S,006441781,3468337141143,006441,FUNDAMENTALS X-SHORT R,781,NAVY-TURQUOISE,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",S,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_781_XL,006441781,3468337140689,006441,FUNDAMENTALS X-SHORT R,781,NAVY-TURQUOISE,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",XL,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_781_XXL,006441781,3468337144489,006441,FUNDAMENTALS X-SHORT R,781,NAVY-TURQUOISE,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",XXL,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_831_L,006441831,3468337776642,006441,FUNDAMENTALS X-SHORT R,831,NEON BLUE-TEAM ORANGE,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",L,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_831_M,006441831,3468337776659,006441,FUNDAMENTALS X-SHORT R,831,NEON BLUE-TEAM ORANGE,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",M,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_831_S,006441831,3468337776666,006441,FUNDAMENTALS X-SHORT R,831,NEON BLUE-TEAM ORANGE,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",S,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_831_XL,006441831,3468337776673,006441,FUNDAMENTALS X-SHORT R,831,NEON BLUE-TEAM ORANGE,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",XL,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_831_XXL,006441831,3468337776680,006441,FUNDAMENTALS X-SHORT R,831,NEON BLUE-TEAM ORANGE,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",XXL,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_872_L,006441872,3468337776697,006441,FUNDAMENTALS X-SHORT R,872,TURQUOISE-NAVY,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",L,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_872_M,006441872,3468337776703,006441,FUNDAMENTALS X-SHORT R,872,TURQUOISE-NAVY,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",M,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_872_S,006441872,3468337776710,006441,FUNDAMENTALS X-SHORT R,872,TURQUOISE-NAVY,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",S,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_872_XL,006441872,3468337776727,006441,FUNDAMENTALS X-SHORT R,872,TURQUOISE-NAVY,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",XL,Ethiopia/China,6211110000,Global,Y,12.27273,27
006441_872_XXL,006441872,3468337776734,006441,FUNDAMENTALS X-SHORT R,872,TURQUOISE-NAVY,Swimwear,Beach Short,Man,"S, M, L, XL, XXL",XXL,Ethiopia/China,6211110000,Global,Y,12.27273,27
006442_170_3XL,006442170,3468337142201,006442,BYWAYX R,170,WHITE-NAVY,Swimwear,Beach Short,Man,"S, M, L, XL, XXL, 3XL",3XL,Ethiopia/China,6211110000,Global,Y,14.54545,32
006442_170_L,006442170,3468337144946,006442,BYWAYX R,170,WHITE-NAVY,Swimwear,Beach Short,Man,"S, M, L, XL, XXL, 3XL",L,Ethiopia/China,6211110000,Global,Y,14.54545,32
006442_170_M,006442170,3468337143789,006442,BYWAYX R,170,WHITE-NAVY,Swimwear,Beach Short,Man,"S, M, L, XL, XXL, 3XL",M,Ethiopia/China,6211110000,Global,Y,14.54545,32
006442_170_S,006442170,3468337142102,006442,BYWAYX R,170,WHITE-NAVY,Swimwear,Beach Short,Man,"S, M, L, XL, XXL, 3XL",S,Ethiopia/China,6211110000,Global,Y,14.54545,32
006442_170_XL,006442170,3468337144168,006442,BYWAYX R,170,WHITE-NAVY,Swimwear,Beach Short,Man,"S, M, L, XL, XXL, 3XL",XL,Ethiopia/China,6211110000,Global,Y,14.54545,32
006442_170_XXL,006442170,3468337145677,006442,BYWAYX R,170,WHITE-NAVY,Swimwear,Beach Short,Man,"S, M, L, XL, XXL, 3XL",XXL,Ethiopia/China,6211110000,Global,Y,14.54545,32
006442_330_3XL,006442330,3468337964421,006442,BYWAYX R,330,CARROT-ORANGE,Swimwear,Beach Short,Man,"S, M, L, XL, XXL, 3XL",3XL,Ethiopia/China,6211110000,Global,Y,14.54545,32
006442_330_L,006442330,3468337964438,006442,BYWAYX R,330,CARROT-ORANGE,Swimwear,Beach Short,Man,"S, M, L, XL, XXL, 3XL",L,Ethiopia/China,6211110000,Global,Y,14.54545,32
