SKU,Article,EAN,Style,Style Description,Colorway,Colorway Description,Segment,Product Type,Consumer Target,Sizes Overview,Size,Made-In,Taric,Collection Type,Carry Over,SWP EUR,RSP EUR
001198_555_30,001198555,3468336967614,001198,W ARENA ONE BIGLOGO ONE PIECE,555,BLACK-SILVER_R,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",30,Cambodia,6112419000,Global,Y,22.85714,48
001198_555_32,001198555,3468336967997,001198,W ARENA ONE BIGLOGO ONE PIECE,555,BLACK-SILVER_R,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",32,Cambodia,6112419000,Global,Y,22.85714,48
001198_555_34,001198555,3468336968376,001198,W ARENA ONE BIGLOGO ONE PIECE,555,BLACK-SILVER_R,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",34,Cambodia,6112419000,Global,Y,22.85714,48
001198_555_36,001198555,3468336968741,001198,W ARENA ONE BIGLOGO ONE PIECE,555,BLACK-SILVER_R,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",36,Cambodia,6112419000,Global,Y,22.85714,48
001198_555_38,001198555,3468336966280,001198,W ARENA ONE BIGLOGO ONE PIECE,555,BLACK-SILVER_R,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",38,Cambodia,6112419000,Global,Y,22.85714,48
001198_555_40,001198555,3468336966242,001198,W ARENA ONE BIGLOGO ONE PIECE,555,BLACK-SILVER_R,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",40,Cambodia,6112419000,Global,Y,22.85714,48
001198_555_42,001198555,3468336966662,001198,W ARENA ONE BIGLOGO ONE PIECE,555,BLACK-SILVER_R,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",42,Cambodia,6112419000,Global,Y,22.85714,48
001198_555_44,001198555,3468336967058,001198,W ARENA ONE BIGLOGO ONE PIECE,555,BLACK-SILVER_R,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",44,Cambodia,6112419000,Global,Y,22.85714,48
001198_560_30,001198560,3468337966999,001198,W ARENA ONE BIGLOGO ONE PIECE,560,BLACK-BLUE COSMO,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",30,Cambodia,6112419000,Global,Y,22.85714,48
001198_560_32,001198560,3468337967002,001198,W ARENA ONE BIGLOGO ONE PIECE,560,BLACK-BLUE COSMO,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",32,Cambodia,6112419000,Global,Y,22.85714,48
001198_560_34,001198560,3468337967019,001198,W ARENA ONE BIGLOGO ONE PIECE,560,BLACK-BLUE COSMO,Swimwear,One piece,Woman,"30, 32, 34, 36, 38, 40, 42, 44",34,Cambodia,6112419000,Global,Y,22.85714,48
