,AQUA GLEAM Limited Edition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Master Data - Distributors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SKU,Article,EAN,Style,Style Description,Colorway,Colorway Description,Collection Type,Teamline,Teamline Colorway,Carry Over Style,Carry Over Colorway,Segment,Product Type,Usage Environment,Usage Purpose,Consumer Target,Style Composition,Product Sustainability,Item,Lining,Back,Material Subtype,Product Line,Backbone description,Sizes Overview,Size,FRA size,GER size,ITA size,UK size,USA size,Packaging Sustainability,Net Weight,Gross Weight,InnerBox Pcs,Packaging Weight,Packaging Depth,Packaging Height,Packaging Width,Taric,Fedas,Fedas Colorway,Fedas Size Range,Made-In,AINT EUR SWP,AINT EUR RSP
,006341_509_28,006341509,3468339204747,006341,POWERSKIN CARBON AIR2 LE OB,509,RED-WHITE-BLUE,Global,N,N,Y,N,Swimwear,Full body,Pool,Racing,Woman,"65% Polyamide, 34% Elastane, 1% Carbon Fiber",,Short Leg,,Open,Woven,Carbon Air 2,Racing - Race gear & wetsuits - Swimsuits & Trisuits - WOMAN - Full body," 28, 30, 32, 34, 36, 38, 40",28,28,26,32,22,22,100% Recycled Paper,110,299,0,189,6.5,17.5,12.5,6211120000,215695,21242,14.15,Slovakia,188.09523999999999,395
,006341_509_30,006341509,3468339204754,006341,POWERSKIN CARBON AIR2 LE OB,509,RED-WHITE-BLUE,Global,N,N,Y,N,Swimwear,Full body,Pool,Racing,Woman,"65% Polyamide, 34% Elastane, 1% Carbon Fiber",,Short Leg,,Open,Woven,Carbon Air 2,Racing - Race gear & wetsuits - Swimsuits & Trisuits - WOMAN - Full body," 28, 30, 32, 34, 36, 38, 40",30,30,28,34,24,24,100% Recycled Paper,110,299,0,189,6.5,17.5,12.5,6211120000,215695,21242,14.15,Slovakia,188.09523999999999,395
,006341_509_32,006341509,3468339204761,006341,POWERSKIN CARBON AIR2 LE OB,509,RED-WHITE-BLUE,Global,N,N,Y,N,Swimwear,Full body,Pool,Racing,Woman,"65% Polyamide, 34% Elastane, 1% Carbon Fiber",,Short Leg,,Open,Woven,Carbon Air 2,Racing - Race gear & wetsuits - Swimsuits & Trisuits - WOMAN - Full body," 28, 30, 32, 34, 36, 38, 40",32,32,30,36,26,26,100% Recycled Paper,110,299,0,189,6.5,17.5,12.5,6211120000,215695,21242,14.15,Slovakia,188.09523999999999,395
,006341_509_34,006341509,3468339204778,006341,POWERSKIN CARBON AIR2 LE OB,509,RED-WHITE-BLUE,Global,N,N,Y,N,Swimwear,Full body,Pool,Racing,Woman,"65% Polyamide, 34% Elastane, 1% Carbon Fiber",,Short Leg,,Open,Woven,Carbon Air 2,Racing - Race gear & wetsuits - Swimsuits & Trisuits - WOMAN - Full body," 28, 30, 32, 34, 36, 38, 40",34,34,32,38,28,28,100% Recycled Paper,110,299,0,189,6.5,17.5,12.5,6211120000,215695,21242,14.15,Slovakia,188.09523999999999,395
,006341_509_36,006341509,3468339204785,006341,POWERSKIN CARBON AIR2 LE OB,509,RED-WHITE-BLUE,Global,N,N,Y,N,Swimwear,Full body,Pool,Racing,Woman,"65% Polyamide, 34% Elastane, 1% Carbon Fiber",,Short Leg,,Open,Woven,Carbon Air 2,Racing - Race gear & wetsuits - Swimsuits & Trisuits - WOMAN - Full body," 28, 30, 32, 34, 36, 38, 40",36,36,34,40,30,30,100% Recycled Paper,110,299,0,189,6.5,17.5,12.5,6211120000,215695,21242,14.15,Slovakia,188.09523999999999,395
,006341_509_38,006341509,3468339204792,006341,POWERSKIN CARBON AIR2 LE OB,509,RED-WHITE-BLUE,Global,N,N,Y,N,Swimwear,Full body,Pool,Racing,Woman,"65% Polyamide, 34% Elastane, 1% Carbon Fiber",,Short Leg,,Open,Woven,Carbon Air 2,Racing - Race gear & wetsuits - Swimsuits & Trisuits - WOMAN - Full body," 28, 30, 32, 34, 36, 38, 40",38,38,36,42,32,32,100% Recycled Paper,110,299,0,189,6.5,17.5,12.5,6211120000,215695,21242,14.15,Slovakia,188.09523999999999,395
,006341_509_40,006341509,3468339204808,006341,POWERSKIN CARBON AIR2 LE OB,509,RED-WHITE-BLUE,Global,N,N,Y,N,Swimwear,Full body,Pool,Racing,Woman,"65% Polyamide, 34% Elastane, 1% Carbon Fiber",,Short Leg,,Open,Woven,Carbon Air 2,Racing - Race gear & wetsuits - Swimsuits & Trisuits - WOMAN - Full body," 28, 30, 32, 34, 36, 38, 40",40,40,38,44,34,34,100% Recycled Paper,110,299,0,189,6.5,17.5,12.5,6211120000,215695,21242,14.15,Slovakia,188.09523999999999,395
,006342_508_28,006342508,3468339206970,006342,POWERSKIN CARBON AIR2 LE CB,508,AQUA GLEAM,Global,N,N,Y,N,Swimwear,Full body,Pool,Racing,Woman,"65% Polyamide, 34% Elastane, 1% Carbon Fiber",,Short Leg,,Closed,Woven,Carbon Air 2,Racing - Race gear & wetsuits - Swimsuits & Trisuits - WOMAN - Full body," 28, 30, 32, 34, 36, 38, 40",28,28,26,32,22,22,100% Recycled Paper,120,309,0,189,6.5,17.5,12.5,6211120000,215695,21242,14.15,Italy,188.09523999999999,395
,006342_508_30,006342508,3468339206987,006342,POWERSKIN CARBON AIR2 LE CB,508,AQUA GLEAM,Global,N,N,Y,N,Swimwear,Full body,Pool,Racing,Woman,"65% Polyamide, 34% Elastane, 1% Carbon Fiber",,Short Leg,,Closed,Woven,Carbon Air 2,Racing - Race gear & wetsuits - Swimsuits & Trisuits - WOMAN - Full body," 28, 30, 32, 34, 36, 38, 40",30,30,28,34,24,24,100% Recycled Paper,120,309,0,189,6.5,17.5,12.5,6211120000,215695,21242,14.15,Italy,188.09523999999999,395
,006342_508_32,006342508,3468339206994,006342,POWERSKIN CARBON AIR2 LE CB,508,AQUA GLEAM,Global,N,N,Y,N,Swimwear,Full body,Pool,Racing,Woman,"65% Polyamide, 34% Elastane, 1% Carbon Fiber",,Short Leg,,Closed,Woven,Carbon Air 2,Racing - Race gear & wetsuits - Swimsuits & Trisuits - WOMAN - Full body," 28, 30, 32, 34, 36, 38, 40",32,32,30,36,26,26,100% Recycled Paper,120,309,0,189,6.5,17.5,12.5,6211120000,215695,21242,14.15,Italy,188.09523999999999,395
